1,"Syrien, Arabische Republik",27.306,27.146,160,25.265,24.972,83,18,48,"99,1%",2,225
2,Irak,6.636,6.567,69,1.994,1.679,16,65,10,"88,0%",57,183
3,Afghanistan,4.949,4.917,32,699,191,-,36,103,"47,2%",149,220
4,Ungeklärt,2.826,2.799,27,1.574,1.532,-,1,-,"97,4%",18,23
5,Albanien,1.308,1.202,106,5.693,2,-,8,5,"0,3%",4.838,840
6,"Iran, Islamische Republik",1.087,1.061,26,251,133,15,-,5,"55,0%",55,58
7,Pakistan,757,744,13,334,14,-,-,1,"4,5%",242,77
8,Eritrea,637,627,10,1.934,1.879,22,10,1,"97,7%",6,38
9,Staatenlos,599,594,5,436,426,-,-,-,"97,7%",7,3
10,Serbien,910,473,437,2.976,-,-,-,3,"0,1%",2.203,770
