YEAR_MONTH,Herkunftsland, Entscheidungen insgesamt,Ablehnungen,sonstige Erledigungen, bereinigte Schutzquote, BAMF-Schutzquote
2015,Albanien,35721,31150,4495,0.243387,0.21276
2015,Bosnien und Herzegowina,6500,3339,3148,0.387828,0.2
2015,Belgien,2,0,2,nd,nd
2015,Bulgarien,28,15,13,0,0
2015,Estland,2,2,0,nd,nd
2015,Frankreich,4,4,0,nd,nd
2015,Kroatien,22,14,8,0,0
2015,Slowenien,0,0,0,nd,nd
2015,Griechenland,5,3,2,0,0
2015,Italien,6,4,2,0,0
2015,Lettland,2,1,1,0,0
2015,Montenegro,2297,1855,435,0.37594,0.304745
2015,Litauen,2,2,0,nd,nd
2015,Mazedonien,8245,5583,2618,0.781944,0.533657
2015,Moldau (Republik),44,24,17,11.1111,6.81818
2015,Niederlande,1,1,0,nd,nd
2015,Kosovo,29801,26139,3530,0.502455,0.442938
2015,Polen,2,1,1,0,0
2015,Portugal,2,0,1,100,50
2015,Rumänien,6,3,3,0,0
2015,Slowakische Republik,0,0,0,nd,nd
2015,Schweden,3,2,1,0,0
2015,Schweiz,0,0,0,nd,nd
2015,Russische Föderation,4832,918,3511,30.5072,8.34023
2015,Spanien,1,0,1,nd,nd
2015,Türkei,887,265,492,32.9114,14.6561
2015,Tschechische Republik,11,4,7,0,0
2015,Ungarn,10,0,10,nd,nd
2015,Ukraine,1008,42,912,56.25,5.35714
2015,Großbritannien mit Nordirland,2,1,1,0,0
2015,Weißrußland,70,0,64,100,8.57143
2015,Serbien,22341,13611,8704,0.190658,0.116378
2015,Zypern,1,1,0,nd,nd
2015,sonst. europ. Staatsangeh.,38,34,4,0,0
2015,Algerien,1119,336,765,5.08475,1.60858
2015,Angola,66,22,15,56.8627,43.9394
2015,Eritrea,10099,38,761,99.5931,92.0883
2015,Äthiopien,394,89,208,52.1505,24.6193
2015,Lesotho,1,1,0,nd,nd
2015,Botsuana,4,3,0,nd,nd
2015,Benin,103,21,81,4.54545,0.970874
2015,Dschibuti,9,3,4,40,22.2222
2015,Elfenbeinküste (Cote d Ivoire),347,30,308,23.0769,2.59366
2015,Nigeria,1149,182,891,29.4574,6.61445
2015,Simbabwe,17,9,2,40,35.2941
2015,Gabun,7,3,3,25,14.2857
2015,Gambia,603,54,533,22.8571,2.6534
2015,Ghana,567,133,421,8.90411,2.29277
2015,Mauretanien,86,15,70,6.25,1.16279
2015,Cabo Verde,0,0,0,nd,nd
2015,Kenia,166,109,56,0.909091,0.60241
2015,Komoren,0,0,0,nd,nd
2015,Kongo,22,11,9,15.3846,9.09091
2015,"Kongo, Dem. Republik",164,107,27,21.8978,18.2927
2015,Liberia,46,1,45,0,0
2015,Libyen,358,35,200,77.8481,34.3575
2015,Mali,336,58,264,19.4444,4.16667
2015,Marokko,962,401,525,8.23799,3.7422
2015,Mauritius,2,0,0,nd,nd
2015,Mosambik,0,0,0,nd,nd
2015,Niger,106,13,90,18.75,2.83019
2015,Malawi,2,2,0,nd,nd
2015,Sambia,5,2,3,0,0
2015,Burkina-Faso,127,24,99,14.2857,3.14961
2015,Guinea-Bissau,222,20,200,9.09091,0.900901
2015,Guinea,413,83,254,47.7987,18.4019
2015,Kamerun,381,94,280,6.93069,1.83727
2015,Südafrika,4,2,2,0,0
2015,Ruanda,32,8,6,69.2308,56.25
2015,Namibia,5,2,3,0,0
2015,Senegal,215,29,184,6.45161,0.930233
