YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Bosnien und Herzegowina,122,"",703,441,262,934,0,0,0,2,587,345,2386,1254,0,0,0,2,542,50,0,0,0,0,45,270,25
201502,Bosnien und Herzegowina,122,"",693,370,323,763,0,1,0,0,432,330,2303,1277,0,1,0,0,398,57,0,0,0,0,34,221,52
201503,Bosnien und Herzegowina,122,"",690,380,310,595,0,0,0,2,306,287,2371,1342,0,0,0,1,284,60,0,0,0,1,22,173,54
201504,Bosnien und Herzegowina,122,"",738,472,266,498,0,0,0,0,188,310,2668,1301,0,0,0,0,168,39,0,0,0,0,20,206,65
201505,Bosnien und Herzegowina,122,"",542,382,160,405,0,0,0,2,184,219,2828,1269,0,0,0,2,167,60,0,0,0,0,17,122,37
201506,Bosnien und Herzegowina,122,"",609,438,171,490,0,0,0,0,199,291,3016,1207,0,0,0,0,184,85,0,0,0,0,15,151,55
201507,Bosnien und Herzegowina,122,"",786,498,288,455,0,0,0,1,185,269,3284,1274,0,0,0,1,163,87,0,0,0,0,22,141,41
201508,Bosnien und Herzegowina,122,"",538,368,170,251,0,0,0,0,102,149,3511,1328,0,0,0,0,97,48,0,0,0,0,5,76,25
201509,Bosnien und Herzegowina,122,"",614,369,245,520,0,0,0,4,285,231,3527,1424,0,0,0,3,273,96,0,0,0,1,12,103,32
201510,Bosnien und Herzegowina,122,"",572,308,264,541,0,0,0,0,321,220,3483,1511,0,0,0,0,278,92,0,0,0,0,43,98,30
201511,Bosnien und Herzegowina,122,"",522,306,216,403,0,0,0,1,177,225,3553,1574,0,0,0,1,172,74,0,0,0,0,5,140,11
201512,Bosnien und Herzegowina,122,"",275,140,135,666,0,0,0,0,393,273,3275,1483,0,0,0,0,377,62,0,0,0,0,16,161,50
