YEAR_MONTH,Herkunftsland,LS,,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
201501,Uganda,286,"",11,10,1,2,0,0,0,0,0,2,121,8,0,0,0,0,0,2,0,0,0,0,0,0,0
201502,Uganda,286,"",8,8,0,0,0,0,0,0,0,0,129,8,0,0,0,0,0,0,0,0,0,0,0,0,0
201503,Uganda,286,"",3,2,1,0,0,0,0,0,0,0,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0
201504,Uganda,286,"",3,3,0,1,0,0,0,0,1,0,134,9,0,0,0,0,1,0,0,0,0,0,0,0,0
201505,Uganda,286,"",4,4,0,2,0,0,0,0,0,2,137,9,0,0,0,0,0,2,0,0,0,0,0,0,0
201506,Uganda,286,"",10,9,1,2,0,0,0,0,0,2,145,9,0,0,0,0,0,1,0,0,0,0,0,1,0
201507,Uganda,286,"",6,6,0,0,0,0,0,0,0,0,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0
201508,Uganda,286,"",12,12,0,2,0,1,0,0,0,1,166,8,0,1,0,0,0,0,0,0,0,0,0,0,1
201509,Uganda,286,"",10,10,0,1,0,0,0,0,0,1,176,8,0,0,0,0,0,1,0,0,0,0,0,0,0
201510,Uganda,286,"",1,1,0,3,0,0,0,0,0,3,174,8,0,0,0,0,0,3,0,0,0,0,0,0,0
201511,Uganda,286,"",1,1,0,2,1,1,0,0,0,0,175,8,1,1,0,0,0,0,0,0,0,0,0,0,0
201512,Uganda,286,"",1,1,0,10,0,1,0,0,5,4,166,8,0,1,0,0,5,4,0,0,0,0,0,0,0
201601,Uganda,286,"",0,0,0,12,0,0,0,5,3,4,155,7,0,0,0,5,3,3,0,0,0,0,0,1,0
201602,Uganda,286,"",4,4,0,2,0,0,0,1,1,0,158,7,0,0,0,1,1,0,0,0,0,0,0,0,0
201603,Uganda,286,"",16,16,0,5,0,1,0,1,3,0,169,7,0,1,0,1,3,0,0,0,0,0,0,0,0
201604,Uganda,286,"",22,22,0,1,0,0,0,1,0,0,193,7,0,0,0,1,0,0,0,0,0,0,0,0,0
201605,Uganda,286,"",7,7,0,4,0,0,0,1,0,3,195,7,0,0,0,1,0,3,0,0,0,0,0,0,0
