YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Eritrea,224,637,627,10,1934,22,1857,10,1,6,38,14673,159,22,1846,10,1,6,35,0,11,0,0,0,0,3
2016-02,Eritrea,224,936,920,16,2291,19,2162,8,1,19,82,13492,159,19,2149,8,1,19,79,0,13,0,0,0,2,1
2016-03,Eritrea,224,842,830,12,1665,24,1563,14,2,20,42,12810,154,24,1550,13,2,20,37,0,13,1,0,0,0,5
2016-04,Eritrea,224,1165,1152,13,1459,9,1276,65,2,18,89,12694,160,9,1272,65,2,18,87,0,4,0,0,0,1,1
2016-05,Eritrea,224,1066,1057,9,1436,7,1241,91,5,4,88,12633,152,7,1235,91,4,4,77,0,6,0,1,0,3,8
2016-06,Eritrea,224,1876,1845,31,1761,7,1502,126,10,2,114,13053,163,7,1495,123,9,2,110,0,7,3,1,0,2,2
2016-07,Eritrea,224,1819,1800,19,1469,2,1097,261,5,3,101,13587,177,2,1088,260,5,3,97,0,9,1,0,0,2,2
2016-08,Eritrea,224,2065,2046,19,1906,1,1267,471,2,2,163,13992,161,1,1245,471,0,2,149,0,22,0,2,0,11,3
2016-09,Eritrea,224,1908,1897,11,1648,0,955,535,14,2,142,14347,162,0,955,533,13,2,133,0,0,2,1,0,8,1
2016-10,Eritrea,224,1724,1709,15,1952,5,1083,701,17,10,136,14214,183,5,1081,701,16,10,130,0,2,0,1,0,4,2
2016-11,Eritrea,224,2015,2001,14,2025,12,1048,628,30,14,293,14219,205,12,1045,627,26,14,278,0,3,1,4,0,11,4
2016-12,Eritrea,224,1646,1629,17,2666,13,1461,737,31,39,385,13225,214,13,1453,736,17,39,368,0,8,1,14,0,5,12
