YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Libyen,248,49,49,0,19,1,3,0,1,7,7,1497,38,1,3,0,1,6,7,0,0,0,0,1,0,0
2016-02,Libyen,248,72,69,3,22,1,6,0,0,9,6,1578,42,1,5,0,0,8,6,0,1,0,0,1,0,0
2016-03,Libyen,248,82,78,4,61,0,8,0,0,30,23,1624,42,0,8,0,0,29,18,0,0,0,0,1,0,5
2016-04,Libyen,248,55,55,0,46,4,4,0,2,18,18,1634,40,4,4,0,2,17,16,0,0,0,0,1,0,2
2016-05,Libyen,248,54,51,3,25,5,2,0,4,4,10,1672,40,5,2,0,4,4,8,0,0,0,0,0,0,2
2016-06,Libyen,248,69,68,1,27,0,4,1,1,5,16,1734,39,0,4,1,1,5,14,0,0,0,0,0,0,2
2016-07,Libyen,248,92,91,1,192,10,56,4,4,76,42,1651,42,10,56,4,3,76,42,0,0,0,1,0,0,0
2016-08,Libyen,248,143,140,3,153,14,37,1,7,63,31,1655,37,14,34,1,7,62,24,0,3,0,0,1,1,6
2016-09,Libyen,248,143,140,3,167,2,38,9,5,83,30,1617,36,2,38,9,5,82,29,0,0,0,0,1,0,1
2016-10,Libyen,248,121,121,0,235,2,34,5,9,121,64,1497,34,2,34,5,9,120,62,0,0,0,0,1,0,2
2016-11,Libyen,248,133,126,7,303,24,52,15,12,121,79,1309,47,24,52,15,12,120,74,0,0,0,0,1,0,5
2016-12,Libyen,248,117,113,4,286,4,30,7,14,148,83,1136,55,4,29,7,13,147,76,0,1,0,1,1,5,2
