YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Mali,251,16,13,3,36,0,0,1,0,6,29,783,26,0,0,1,0,5,29,0,0,0,0,1,0,0
2016-02,Mali,251,32,25,7,41,0,0,1,1,17,22,772,30,0,0,1,0,16,20,0,0,0,1,1,1,1
2016-03,Mali,251,51,49,2,19,0,1,0,0,6,12,809,29,0,1,0,0,5,10,0,0,0,0,1,1,1
2016-04,Mali,251,57,55,2,10,0,0,0,0,3,7,866,29,0,0,0,0,3,5,0,0,0,0,0,1,1
2016-05,Mali,251,88,86,2,14,0,0,0,0,4,10,946,31,0,0,0,0,4,9,0,0,0,0,0,0,1
2016-06,Mali,251,169,164,5,19,0,1,0,0,6,12,1115,35,0,1,0,0,6,11,0,0,0,0,0,0,1
2016-07,Mali,251,147,147,0,27,0,1,0,0,6,20,1262,31,0,1,0,0,6,16,0,0,0,0,0,1,3
2016-08,Mali,251,254,252,2,34,0,1,0,1,9,23,1485,33,0,1,0,1,9,23,0,0,0,0,0,0,0
2016-09,Mali,251,179,177,2,36,0,0,0,0,12,24,1627,37,0,0,0,0,12,23,0,0,0,0,0,0,1
2016-10,Mali,251,113,110,3,111,0,1,0,4,45,61,1617,40,0,1,0,4,45,59,0,0,0,0,0,0,2
2016-11,Mali,251,68,66,2,206,0,14,0,7,103,82,1473,49,0,14,0,7,103,77,0,0,0,0,0,0,5
2016-12,Mali,251,50,49,1,149,0,0,1,5,52,91,1372,49,0,0,1,5,52,81,0,0,0,0,0,4,6
