YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Armenien,422,624,602,22,798,0,22,12,24,548,192,6720,362,0,22,12,20,539,159,0,0,0,4,9,16,17
2017-02,Armenien,422,333,306,27,1011,0,6,20,37,738,210,6112,347,0,6,16,36,719,183,0,0,4,1,19,14,13
2017-03,Armenien,422,346,313,33,1128,5,18,25,50,747,283,5367,355,5,18,25,50,739,258,0,0,0,0,8,19,6
2017-04,Armenien,422,231,224,7,1066,0,17,22,50,774,203,4601,322,0,16,21,50,760,158,0,1,1,0,14,18,27
2017-05,Armenien,422,178,165,13,2016,6,47,34,99,1576,254,2885,270,6,46,34,97,1539,218,0,1,0,2,37,18,18
2017-06,Armenien,422,168,156,12,803,0,16,7,25,535,220,2319,243,0,16,7,25,515,184,0,0,0,0,20,17,19
2017-07,Armenien,422,338,308,30,677,0,8,11,29,447,182,2047,217,0,6,11,27,431,122,0,2,0,2,16,27,33
2017-08,Armenien,422,308,276,32,612,0,5,18,33,408,148,1803,206,0,5,18,27,378,114,0,0,0,6,30,13,21
2017-09,Armenien,422,383,330,53,468,0,12,18,23,312,103,1759,218,0,12,15,23,296,69,0,0,3,0,16,20,14
2017-10,Armenien,422,227,194,33,527,0,13,6,26,351,131,1534,187,0,13,5,21,333,90,0,0,1,5,18,30,11
2017-11,Armenien,422,284,256,28,595,0,6,8,42,401,138,1296,173,0,6,8,40,384,100,0,0,0,2,17,28,10
2017-12,Armenien,422,249,211,38,392,3,3,6,32,229,119,1221,159,3,3,6,29,225,67,0,0,0,3,4,25,27
