YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Aserbaidschan,425,494,474,20,642,4,44,19,14,345,216,4573,314,4,44,19,14,336,193,0,0,0,0,9,14,9
2017-02,Aserbaidschan,425,237,223,14,781,9,45,35,15,406,271,4072,296,9,45,34,15,394,253,0,0,1,0,12,14,4
2017-03,Aserbaidschan,425,337,310,27,818,6,61,16,14,395,326,3644,290,6,61,16,14,387,294,0,0,0,0,8,25,7
2017-04,Aserbaidschan,425,192,179,13,685,8,60,16,31,415,155,3221,254,8,59,16,26,394,125,0,1,0,5,21,24,6
2017-05,Aserbaidschan,425,205,175,30,1144,11,131,38,25,753,186,2370,210,11,127,38,22,721,157,0,4,0,3,32,20,9
2017-06,Aserbaidschan,425,207,191,16,450,3,35,9,15,280,108,2178,183,3,35,9,13,262,88,0,0,0,2,18,16,4
2017-07,Aserbaidschan,425,279,248,31,616,1,27,5,15,438,130,1911,169,1,27,5,15,415,104,0,0,0,0,23,24,2
2017-08,Aserbaidschan,425,345,304,41,510,4,38,13,20,306,129,1769,170,4,36,13,19,288,103,0,2,0,1,18,11,15
2017-09,Aserbaidschan,425,247,187,60,414,0,24,1,8,236,145,1659,181,0,23,1,3,223,106,0,1,0,5,13,36,3
2017-10,Aserbaidschan,425,280,239,41,503,7,20,6,3,285,182,1490,163,6,20,6,2,273,134,1,0,0,1,12,32,16
2017-11,Aserbaidschan,425,266,226,40,559,9,37,12,7,300,194,1266,140,9,29,12,5,286,158,0,8,0,2,14,30,6
2017-12,Aserbaidschan,425,176,140,36,431,4,24,14,13,228,148,1072,132,4,24,14,11,221,106,0,0,0,2,7,36,6
