YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Georgien,430,204,187,17,669,0,2,0,5,400,262,2834,335,0,2,0,5,384,198,0,0,0,0,16,26,38
2017-02,Georgien,430,204,188,16,609,0,2,2,11,343,251,2527,298,0,2,2,8,335,196,0,0,0,3,8,40,15
2017-03,Georgien,430,218,193,25,644,0,2,8,6,394,234,2213,246,0,2,8,4,378,174,0,0,0,2,16,42,18
2017-04,Georgien,430,269,238,31,586,0,2,6,6,403,169,1961,231,0,2,3,6,389,119,0,0,3,0,14,25,25
2017-05,Georgien,430,243,207,36,866,0,2,1,11,590,262,1435,192,0,1,1,11,563,204,0,1,0,0,27,28,30
2017-06,Georgien,430,169,148,21,475,1,2,0,11,289,172,1196,153,1,2,0,11,279,109,0,0,0,0,10,36,27
2017-07,Georgien,430,224,199,25,456,1,0,0,4,316,135,1035,124,1,0,0,3,300,98,0,0,0,1,16,22,15
2017-08,Georgien,430,250,213,37,445,1,1,0,1,327,115,868,120,1,1,0,1,313,81,0,0,0,0,14,23,11
2017-09,Georgien,430,238,215,23,385,0,0,0,9,269,107,797,94,0,0,0,8,256,60,0,0,0,1,13,26,21
2017-10,Georgien,430,355,323,32,423,0,1,6,7,316,93,785,86,0,1,6,7,307,49,0,0,0,0,9,24,20
2017-11,Georgien,430,444,403,41,427,0,0,4,5,306,112,858,83,0,0,4,5,287,62,0,0,0,0,19,23,27
2017-12,Georgien,430,522,487,35,441,0,1,0,9,320,111,985,79,0,1,0,5,303,78,0,0,0,4,17,19,14
