YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,31,4721,1746,159,2845,810
2017-02,26,3544,2149,177,3090,1069
2017-03,28,3386,2295,196,3669,1028
2017-04,25,2555,1701,162,2983,687
2017-05,41,3403,1757,306,3683,973
2017-06,48,1277,492,94,934,603
2017-07,44,1442,651,107,1152,762
2017-08,34,1221,869,110,1039,697
2017-09,12,671,604,95,693,797
2017-10,25,774,658,78,778,776
2017-11,7,671,830,96,761,959
2017-12,7,373,556,58,653,645
