YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Somalia,273,617,584,33,1894,3,508,402,327,228,426,12118,503,3,508,402,315,225,395,0,0,0,12,3,11,20
2017-02,Somalia,273,585,550,35,2201,1,538,526,317,255,564,10705,502,1,535,524,306,254,518,0,3,2,11,1,16,30
2017-03,Somalia,273,629,595,34,2381,0,656,593,247,294,591,9194,446,0,647,587,218,291,524,0,9,6,29,3,21,46
2017-04,Somalia,273,459,431,28,2038,0,587,577,232,263,379,7729,424,0,578,573,202,257,328,0,9,4,30,6,17,34
2017-05,Somalia,273,574,539,35,2310,1,638,668,233,298,472,6163,377,1,622,655,213,293,403,0,16,13,20,5,29,40
2017-06,Somalia,273,494,466,28,1252,1,310,291,153,177,320,5479,372,1,307,285,140,172,284,0,3,6,13,5,15,21
2017-07,Somalia,273,634,584,50,1482,1,313,346,135,193,494,4759,354,1,311,332,111,187,419,0,2,14,24,6,18,57
2017-08,Somalia,273,729,673,56,1332,2,307,225,163,174,461,4288,362,2,301,219,141,172,388,0,6,6,22,2,14,59
2017-09,Somalia,273,532,479,53,1089,2,236,180,86,120,465,3891,347,2,231,175,77,112,352,0,5,5,9,8,14,99
2017-10,Somalia,273,515,475,40,1060,4,260,161,92,121,422,3528,314,4,250,161,64,115,331,0,10,0,28,6,18,73
2017-11,Somalia,273,638,561,77,1166,3,292,221,91,109,450,3136,300,3,281,218,62,99,360,0,11,3,29,10,25,65
2017-12,Somalia,273,471,439,32,921,2,222,138,88,124,347,2886,252,2,208,135,68,115,267,0,14,3,20,9,22,58
