YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,0,22,12,24,548
2017-02,0,6,20,37,738
2017-03,5,18,25,50,747
2017-04,0,17,22,50,774
2017-05,6,47,34,99,1576
2017-06,0,16,7,25,535
2017-07,0,8,11,29,447
2017-08,0,5,18,33,408
2017-09,0,12,18,23,312
2017-10,0,13,6,26,351
2017-11,0,6,8,42,401
2017-12,3,3,6,32,229
2018-01,0,14,2,23,363
2018-02,0,1,8,20,231
2018-03,0,7,8,10,209
2018-04,0,0,5,12,158
2018-05,0,2,1,10,201
2018-06,0,0,0,6,134
2018-07,0,0,3,4,117
2018-08,0,1,0,1,101
2018-09,0,0,3,3,129
2018-10,0,0,2,5,93
2018-11,0,2,3,10,129
2018-12,0,1,3,0,98
