YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,4,44,19,14,345,216
2017-02,9,45,35,15,406,271
2017-03,6,61,16,14,395,326
2017-04,8,60,16,31,415,155
2017-05,11,131,38,25,753,186
2017-06,3,35,9,15,280,108
2017-07,1,27,5,15,438,130
2017-08,4,38,13,20,306,129
2017-09,0,24,1,8,236,145
2017-10,7,20,6,3,285,182
2017-11,9,37,12,7,300,194
2017-12,4,24,14,13,228,148
2018-01,5,17,2,22,285,204
2018-02,0,13,5,5,236,129
2018-03,2,20,8,3,200,154
2018-04,0,11,2,6,133,100
2018-05,0,11,0,2,85,121
2018-06,0,3,0,0,86,121
2018-07,0,6,0,5,67,115
2018-08,0,6,0,3,112,129
2018-09,2,6,3,1,89,82
2018-10,2,1,0,3,153,158
2018-11,8,11,3,6,156,111
2018-12,1,8,1,1,108,55
