YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2017-01,1,10,4,6,227,277
2017-02,0,14,2,3,325,296
2017-03,0,29,8,8,501,298
2017-04,0,16,3,22,398,318
2017-05,1,37,5,22,928,374
2017-06,0,7,3,11,573,258
2017-07,0,11,6,15,521,266
2017-08,0,14,3,15,696,365
2017-09,1,16,3,15,401,248
2017-10,1,14,1,22,473,279
2017-11,1,29,2,19,418,240
2017-12,0,16,12,31,423,279
2018-01,0,26,3,23,528,269
2018-02,1,28,3,21,347,216
2018-03,0,20,2,11,338,190
2018-04,1,8,0,18,344,170
2018-05,2,3,1,11,230,121
2018-06,0,4,2,9,127,81
2018-07,0,4,0,5,116,87
2018-08,0,7,0,10,97,97
2018-09,0,4,0,7,85,78
2018-10,1,4,1,15,133,79
2018-11,1,8,0,1,146,112
2018-12,0,2,0,7,64,79
