YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Guinea,261,419,410,9,696,2,29,6,16,203,440,4257,124,2,29,6,15,199,431,0,0,0,1,4,2,7
2017-01,Guinea-Bissau,259,26,25,1,90,0,0,1,6,45,38,289,17,0,0,1,6,45,37,0,0,0,0,0,0,1
2017-02,Guinea,261,355,350,5,676,3,53,18,17,239,346,3964,134,3,52,18,17,236,330,0,1,0,0,3,5,11
2017-02,Guinea-Bissau,259,20,19,1,86,0,0,0,1,52,33,231,17,0,0,0,1,50,31,0,0,0,0,2,2,0
2017-03,Guinea,261,449,445,4,664,0,47,15,39,253,310,3819,115,0,47,14,36,247,290,0,0,1,3,6,5,15
2017-03,Guinea-Bissau,259,37,36,1,111,0,1,0,8,55,47,183,10,0,1,0,8,53,35,0,0,0,0,2,5,7
2017-04,Guinea,261,354,348,6,489,0,34,9,20,187,239,3707,111,0,32,9,20,183,227,0,2,0,0,4,6,6
2017-04,Guinea-Bissau,259,25,23,2,67,0,0,0,4,33,30,155,5,0,0,0,4,30,23,0,0,0,0,3,2,5
2017-05,Guinea,261,356,346,10,1362,4,99,33,60,740,426,2771,73,4,98,33,54,730,377,0,1,0,6,10,22,27
2017-05,Guinea-Bissau,259,29,23,6,58,0,1,1,4,37,15,129,9,0,1,1,3,37,14,0,0,0,1,0,1,0
2017-06,Guinea,261,323,315,8,643,0,37,21,45,341,199,2497,62,0,36,21,45,338,185,0,1,0,0,3,5,9
2017-06,Guinea-Bissau,259,17,13,4,50,0,1,0,2,28,19,104,11,0,1,0,2,28,16,0,0,0,0,0,3,0
2017-07,Guinea,261,291,276,15,683,1,44,11,38,288,301,2118,74,1,44,11,38,284,290,0,0,0,0,4,5,6
2017-07,Guinea-Bissau,259,25,20,5,41,0,0,0,2,14,25,93,11,0,0,0,1,14,21,0,0,0,1,0,0,4
2017-08,Guinea,261,341,329,12,595,5,53,15,42,236,244,1885,88,5,52,15,41,232,221,0,1,0,1,4,5,18
2017-08,Guinea-Bissau,259,16,14,2,48,0,0,0,1,18,29,80,4,0,0,0,0,17,19,0,0,0,1,1,6,4
2017-09,Guinea,261,257,249,8,499,2,35,10,43,179,230,1658,107,2,34,10,42,177,208,0,1,0,1,2,7,15
2017-09,Guinea-Bissau,259,20,18,2,39,0,0,0,6,15,18,68,3,0,0,0,5,15,14,0,0,0,1,0,2,2
2017-10,Guinea,261,237,226,11,459,4,40,15,35,181,184,1484,105,4,40,15,32,179,166,0,0,0,3,2,5,13
2017-10,Guinea-Bissau,259,13,10,3,19,0,0,0,2,8,9,65,5,0,0,0,2,8,8,0,0,0,0,0,0,1
2017-11,Guinea,261,239,221,18,611,3,65,13,74,256,200,1197,65,3,63,13,68,249,153,0,2,0,6,7,16,31
2017-11,Guinea-Bissau,259,23,21,2,24,0,0,1,2,17,4,67,5,0,0,1,2,17,2,0,0,0,0,0,1,1
2017-12,Guinea,261,205,189,16,369,1,36,5,36,156,135,1083,61,1,36,5,34,156,119,0,0,0,2,0,5,11
2017-12,Guinea-Bissau,259,22,20,2,29,0,0,0,0,8,21,61,3,0,0,0,0,8,17,0,0,0,0,0,0,4
2018-01,Guinea,261,221,198,23,402,0,30,12,40,177,143,964,52,0,27,12,38,171,114,0,3,0,2,6,10,19
2018-01,Guinea-Bissau,259,19,16,3,30,0,0,0,2,12,16,56,4,0,0,0,2,12,14,0,0,0,0,0,1,1
2018-02,Guinea,261,226,211,15,433,1,59,8,21,192,152,900,47,1,56,8,20,191,131,0,3,0,1,1,9,12
2018-02,Guinea-Bissau,259,19,14,5,30,0,2,0,0,13,15,52,5,0,2,0,0,13,10,0,0,0,0,0,3,2
2018-03,Guinea,261,252,232,20,427,2,30,10,30,212,143,866,44,2,29,10,30,211,118,0,1,0,0,1,13,12
2018-03,Guinea-Bissau,259,14,14,0,29,0,0,0,0,8,21,44,2,0,0,0,0,7,18,0,0,0,0,1,2,1
2018-04,Guinea,261,213,186,27,406,1,46,1,25,184,149,777,45,1,45,1,20,179,124,0,1,0,5,5,6,19
2018-04,Guinea-Bissau,259,23,18,5,32,0,0,0,2,16,14,41,5,0,0,0,2,16,11,0,0,0,0,0,2,1
2018-05,Guinea,261,200,180,20,306,1,21,4,17,139,124,740,48,1,21,4,15,137,105,0,0,0,2,2,5,14
2018-05,Guinea-Bissau,259,18,16,2,25,0,0,1,0,13,11,39,3,0,0,1,0,12,7,0,0,0,0,1,0,4
2018-06,Guinea,261,195,168,27,267,0,13,4,11,122,117,716,58,0,13,4,10,121,98,0,0,0,1,1,7,12
2018-06,Guinea-Bissau,259,8,6,2,20,0,0,0,1,5,14,31,4,0,0,0,1,5,12,0,0,0,0,0,0,2
2018-07,Guinea,261,217,190,27,238,3,11,0,11,94,119,734,65,3,11,0,11,93,93,0,0,0,0,1,10,16
2018-07,Guinea-Bissau,259,21,18,3,14,0,0,0,0,5,9,42,6,0,0,0,0,5,7,0,0,0,0,0,0,2
2018-08,Guinea,261,243,224,19,256,2,11,2,21,110,110,794,62,2,11,2,16,109,88,0,0,0,5,1,11,11
2018-08,Guinea-Bissau,259,15,10,5,10,0,0,0,0,2,8,47,9,0,0,0,0,2,5,0,0,0,0,0,0,3
2018-09,Guinea,261,223,203,20,296,1,19,3,14,146,113,803,60,1,18,3,10,144,89,0,1,0,4,2,5,19
2018-09,Guinea-Bissau,259,11,9,2,21,0,0,0,0,10,11,42,7,0,0,0,0,9,8,0,0,0,0,1,1,2
2018-10,Guinea,261,270,256,14,370,2,35,4,11,203,115,839,48,2,34,4,11,200,80,0,1,0,0,3,13,22
2018-10,Guinea-Bissau,259,29,27,2,30,0,1,0,1,8,20,45,7,0,1,0,1,8,18,0,0,0,0,0,1,1
2018-11,Guinea,261,318,279,39,343,0,25,4,10,173,131,868,65,0,25,3,9,168,107,0,0,1,1,5,9,15
2018-11,Guinea-Bissau,259,24,22,2,27,0,0,0,1,8,18,48,8,0,0,0,1,7,16,0,0,0,0,1,1,1
