YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2016-01,Jemen,421,46,46,0,7,0,0,3,1,0,3,513,33,0,0,2,1,0,3,0,0,1,0,0,0,0
2016-02,Jemen,421,35,35,0,18,1,1,16,0,0,0,537,30,1,1,13,0,0,0,0,0,3,0,0,0,0
2016-03,Jemen,421,17,16,1,13,0,0,10,0,0,3,545,31,0,0,10,0,0,3,0,0,0,0,0,0,0
2016-04,Jemen,421,14,14,0,33,0,1,15,1,1,15,530,31,0,1,15,1,1,15,0,0,0,0,0,0,0
2016-05,Jemen,421,50,50,0,9,0,0,3,0,0,6,575,29,0,0,1,0,0,6,0,0,2,0,0,0,0
2016-06,Jemen,421,55,55,0,18,0,0,16,0,0,2,632,26,0,0,13,0,0,1,0,0,3,0,0,0,1
2016-07,Jemen,421,103,93,10,29,0,8,17,0,0,4,703,32,0,8,17,0,0,4,0,0,0,0,0,0,0
2016-08,Jemen,421,84,83,1,22,3,1,16,0,1,1,777,29,3,1,12,0,1,1,0,0,4,0,0,0,0
2016-09,Jemen,421,43,41,2,22,0,2,12,1,0,7,799,32,0,2,12,1,0,7,0,0,0,0,0,0,0
2016-10,Jemen,421,21,20,1,18,0,0,12,4,0,2,806,29,0,0,12,0,0,2,0,0,0,4,0,0,0
2016-11,Jemen,421,29,29,0,52,11,7,21,8,0,5,785,32,11,7,21,1,0,5,0,0,0,7,0,0,0
2016-12,Jemen,421,35,35,0,96,7,7,66,7,0,9,722,36,7,7,66,0,0,9,0,0,0,7,0,0,0
2017-01,Jemen,421,17,17,0,83,3,8,50,2,0,20,661,33,3,8,50,1,0,17,0,0,0,1,0,2,1
2017-02,Jemen,421,25,25,0,146,11,10,110,1,0,14,551,27,11,10,105,0,0,14,0,0,5,1,0,0,0
2017-03,Jemen,421,35,33,2,155,2,28,114,4,1,6,425,29,2,28,114,4,0,5,0,0,0,0,1,1,0
2017-04,Jemen,421,31,29,2,84,1,12,54,2,2,13,380,30,1,12,54,1,2,13,0,0,0,1,0,0,0
201705,Jemen,421,38,37,1,144,8,43,82,0,0,11,282,28,8,43,78,0,0,11,0,0,4,0,0,0,0
2017-06,Jemen,421,36,36,0,78,3,7,57,0,3,8,244,22,3,7,55,0,3,7,0,0,2,0,0,1,0
2017-07,Jemen,421,44,44,0,81,0,7,51,0,1,22,219,13,0,7,45,0,1,17,0,0,6,0,0,0,5
2017-08,Jemen,421,45,45,0,71,0,6,55,1,4,5,191,12,0,6,55,0,4,5,0,0,0,1,0,0,0
2017-09,Jemen,421,49,49,0,54,4,5,30,1,1,13,190,10,4,5,28,0,1,12,0,0,2,1,0,0,1
2017-10,Jemen,421,43,43,0,59,1,6,32,0,1,19,173,11,1,6,32,0,1,19,0,0,0,0,0,0,0
2017-11,Jemen,421,140,136,4,72,0,1,39,0,0,32,242,10,0,1,38,0,0,30,0,0,1,0,0,0,2
2017-12,Jemen,421,38,38,0,76,0,11,44,3,1,17,216,5,0,10,42,2,1,15,0,1,2,1,0,0,2
2018-01,Jemen,421,88,87,1,62,0,8,33,2,0,19,246,5,0,8,33,0,0,18,0,0,0,2,0,0,1
2018-02,Jemen,421,100,100,0,58,1,3,20,1,0,33,297,5,1,3,20,0,0,32,0,0,0,1,0,0,1
2018-03,Jemen,421,77,77,0,118,2,6,41,1,3,65,280,3,2,6,41,0,3,63,0,0,0,1,0,1,1
2018-04,Jemen,421,61,61,0,101,0,5,63,0,1,32,260,4,0,5,62,0,1,32,0,0,1,0,0,0,0
2018-05,Jemen,421,69,69,0,68,1,5,30,0,0,32,262,4,1,5,30,0,0,31,0,0,0,0,0,0,1
2018-06,Jemen,421,67,67,0,62,1,2,35,0,2,22,278,4,1,2,35,0,2,22,0,0,0,0,0,0,0
2018-07,Jemen,421,73,72,1,57,0,3,28,3,4,19,313,6,0,3,27,2,4,19,0,0,1,1,0,0,0
2018-08,Jemen,421,37,37,0,85,1,14,48,2,5,15,275,4,1,14,48,0,5,15,0,0,0,2,0,0,0
2018-09,Jemen,421,49,46,3,96,4,8,57,0,0,27,239,7,4,8,56,0,0,27,0,0,1,0,0,0,0
2018-10,Jemen,421,89,79,10,90,0,7,65,0,0,18,263,7,0,7,64,0,0,8,0,0,1,0,0,2,8
2018-11,Jemen,421,91,88,3,72,0,2,52,8,0,10,299,9,0,2,52,2,0,9,0,0,0,6,0,0,1
2018-12,Jemen,421,62,60,2,43,0,3,31,1,0,8,324,8,0,2,31,1,0,6,0,1,0,0,0,1,1
