YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,8,52,24,2,1097
2017-02,10,66,34,32,921
2017-03,3,72,58,34,945
2017-04,13,41,37,33,1000
201705,11,104,102,64,1578
2017-06,25,27,25,16,593
2017-07,17,26,43,51,621
2017-08,23,68,21,19,691
2017-09,14,39,19,27,586
2017-10,17,34,17,23,635
2017-11,30,44,31,53,599
2017-12,13,23,25,17,536
2018-01,45,53,32,11,660
2018-02,37,25,14,33,384
2018-03,47,46,19,22,471
2018-04,11,20,6,27,333
2018-05,23,9,13,11,371
2018-06,39,5,9,5,240
2018-07,25,6,10,6,202
2018-08,34,8,2,13,241
2018-09,41,19,13,4,257
2018-10,29,8,4,12,341
2018-11,38,2,11,5,279
2018-12,20,7,10,8,229
