YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2017-01,Staatenlos,997,102,101,1,557,5,170,250,0,78,54,2204,60,5,168,250,0,78,50,0,2,0,0,0,2,2
2017-02,Staatenlos,997,88,85,3,439,2,196,141,1,59,40,1896,55,2,196,141,1,59,38,0,0,0,0,0,2,0
2017-03,Staatenlos,997,145,139,6,470,2,171,168,8,64,57,1605,54,2,166,166,8,64,50,0,5,2,0,0,3,4
2017-04,Staatenlos,997,92,89,3,328,0,125,106,1,52,44,1292,52,0,122,104,1,51,36,0,3,2,0,1,6,2
2017-05,Staatenlos,997,110,105,5,483,0,146,137,19,137,44,1001,40,0,138,133,19,137,34,0,8,4,0,0,3,7
2017-06,Staatenlos,997,92,92,0,207,2,90,47,7,46,15,924,41,2,90,45,7,46,14,0,0,2,0,0,0,1
2017-07,Staatenlos,997,101,97,4,260,3,83,56,10,68,40,813,38,3,80,55,10,67,37,0,3,1,0,1,1,2
2017-08,Staatenlos,997,118,113,5,247,1,99,67,9,40,31,702,38,1,99,66,9,39,28,0,0,1,0,1,1,2
2017-09,Staatenlos,997,109,105,4,156,8,60,30,0,29,29,701,38,8,60,30,0,29,26,0,0,0,0,0,0,3
2017-10,Staatenlos,997,126,112,14,261,4,81,56,7,66,47,619,38,4,79,56,7,61,40,0,2,0,0,5,5,2
2017-11,Staatenlos,997,129,123,6,239,3,81,40,7,52,56,546,29,3,79,39,5,52,39,0,2,1,2,0,9,8
2017-12,Staatenlos,997,124,116,8,182,14,52,29,7,42,38,507,26,14,52,29,2,40,32,0,0,0,5,2,2,4
2018-01,Staatenlos,997,78,76,2,254,6,93,46,28,58,23,421,21,6,91,43,27,58,18,0,2,3,1,0,3,2
2018-02,Staatenlos,997,85,78,7,162,5,64,17,10,35,31,410,24,5,63,16,10,31,25,0,1,1,0,4,6,0
2018-03,Staatenlos,997,71,58,13,172,0,53,12,4,27,76,376,30,0,51,12,4,26,66,0,2,0,0,1,2,8
2018-04,Staatenlos,997,109,100,9,153,10,70,15,5,24,29,399,39,10,68,15,4,24,29,0,2,0,1,0,0,0
2018-05,Staatenlos,997,76,66,10,134,10,39,15,5,18,47,373,35,10,37,15,1,17,41,0,2,0,4,1,0,6
2018-06,Staatenlos,997,104,101,3,86,7,16,10,1,8,44,442,19,7,12,9,1,8,30,0,4,1,0,0,11,3
2018-07,Staatenlos,997,74,70,4,90,0,33,11,1,8,37,446,18,0,31,10,1,8,32,0,2,1,0,0,4,1
2018-08,Staatenlos,997,62,58,4,105,9,53,14,0,3,26,446,19,9,52,14,0,3,22,0,1,0,0,0,3,1
2018-09,Staatenlos,997,74,69,5,80,1,43,3,0,16,17,447,19,1,41,3,0,16,15,0,2,0,0,0,2,0
2018-10,Staatenlos,997,67,63,4,124,8,77,10,1,11,17,420,18,8,74,10,0,11,14,0,3,0,1,0,2,1
2018-11,Staatenlos,997,63,51,12,110,6,53,15,0,14,22,371,26,6,53,15,0,12,14,0,0,0,0,2,5,3
2018-12,Staatenlos,997,34,28,6,64,6,43,5,1,3,6,377,26,6,41,5,1,3,2,0,2,0,0,0,4,0
