YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,5,170,250,0,78
2017-02,2,196,141,1,59
2017-03,2,171,168,8,64
2017-04,0,125,106,1,52
2017-05,0,146,137,19,137
2017-06,2,90,47,7,46
2017-07,3,83,56,10,68
2017-08,1,99,67,9,40
2017-09,8,60,30,0,29
2017-10,4,81,56,7,66
2017-11,3,81,40,7,52
2017-12,14,52,29,7,42
2018-01,6,93,46,28,58
2018-02,5,64,17,10,35
2018-03,0,53,12,4,27
2018-04,10,70,15,5,24
2018-05,10,39,15,5,18
2018-06,7,16,10,1,8
2018-07,0,33,11,1,8
2018-08,9,53,14,0,3
2018-09,1,43,3,0,16
2018-10,8,77,10,1,11
2018-11,6,53,15,0,14
2018-12,6,43,5,1,3
