YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,"Aethiopien",225,64,57,7,283,0,35,3,26,145,74,422,24,0,34,3,25,143,44,0,1,0,1,2,12,18
2018-02,"Aethiopien",225,78,63,15,217,0,26,8,30,120,33,387,26,0,24,8,26,117,24,0,2,0,4,3,3,6
2018-03,"Aethiopien",225,68,57,11,237,1,15,5,27,132,57,342,23,1,14,5,26,123,41,0,1,0,1,9,5,11
2018-04,"Aethiopien",225,83,67,16,200,0,23,6,15,109,47,327,28,0,23,5,12,104,28,0,0,1,3,5,10,9
2018-05,"Aethiopien",225,114,103,11,160,0,14,5,6,89,46,353,21,0,13,5,6,87,26,0,1,0,0,2,11,9
2018-06,"Aethiopien",225,100,90,10,142,0,4,1,10,64,63,354,30,0,4,1,9,62,55,0,0,0,1,2,2,6
2018-07,"Aethiopien",225,94,73,21,123,0,5,2,6,67,43,373,37,0,3,2,6,61,27,0,2,0,0,6,4,12
2018-08,"Aethiopien",225,80,70,10,167,0,26,1,12,84,44,358,38,0,25,1,12,82,29,0,1,0,0,2,8,7
2018-09,"Aethiopien",225,78,72,6,154,0,18,1,11,79,45,351,29,0,17,1,11,73,25,0,1,0,0,6,9,11
2018-10,"Aethiopien",225,110,91,19,145,0,14,2,13,68,48,356,39,0,14,2,13,67,34,0,0,0,0,1,5,9
2018-11,"Aethiopien",225,83,72,11,169,0,14,1,14,83,57,322,39,0,13,1,13,79,40,0,1,0,1,4,6,11
2018-12,"Aethiopien",225,48,39,9,106,0,14,1,4,48,39,298,37,0,13,1,3,47,22,0,1,0,1,1,7,10
