YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Armenien,422,298,242,56,566,0,14,2,23,363,164,1020,146,0,10,2,20,345,101,0,4,0,3,18,35,28
2018-02,Armenien,422,171,127,44,460,0,1,8,20,231,200,822,131,0,1,8,19,224,131,0,0,0,1,7,38,31
2018-03,Armenien,422,158,119,39,414,0,7,8,10,209,180,672,118,0,7,8,10,204,116,0,0,0,0,5,41,23
2018-04,Armenien,422,138,109,29,299,0,0,5,12,158,124,597,92,0,0,5,4,154,81,0,0,0,8,4,40,3
2018-05,Armenien,422,124,90,34,342,0,2,1,10,201,128,470,77,0,1,1,8,188,75,0,1,0,2,13,35,18
2018-06,Armenien,422,130,102,28,233,0,0,0,6,134,93,409,81,0,0,0,6,130,58,0,0,0,0,4,25,10
2018-07,Armenien,422,138,114,24,191,0,0,3,4,117,67,400,84,0,0,3,3,111,48,0,0,0,1,6,7,12
2018-08,Armenien,422,143,126,17,191,0,1,0,1,101,88,442,64,0,1,0,1,89,53,0,0,0,0,12,22,13
2018-09,Armenien,422,159,116,43,189,0,0,3,3,129,54,453,77,0,0,3,3,128,32,0,0,0,0,1,11,11
2018-10,Armenien,422,114,96,18,175,0,0,2,5,93,75,441,73,0,0,2,5,90,49,0,0,0,0,3,19,7
2018-11,Armenien,422,110,82,28,226,0,2,3,10,129,82,416,53,0,2,3,7,124,37,0,0,0,3,5,23,22
2018-12,Armenien,422,73,53,20,138,0,1,3,0,98,36,383,64,0,1,3,0,94,21,0,0,0,0,4,4,11
