YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Gambia,237,221,205,16,849,0,26,3,23,528,269,1622,125,0,25,3,22,515,212,0,1,0,1,13,10,47
2018-02,Gambia,237,200,177,23,616,1,28,3,21,347,216,1297,114,1,27,3,17,340,176,0,1,0,4,7,14,26
2018-03,Gambia,237,157,136,21,561,0,20,2,11,338,190,1013,96,0,20,2,11,323,139,0,0,0,0,15,15,36
2018-04,Gambia,237,100,86,14,541,1,8,0,18,344,170,689,94,1,8,0,18,335,134,0,0,0,0,9,6,30
2018-05,Gambia,237,87,73,14,368,2,3,1,11,230,121,526,63,2,3,1,11,213,70,0,0,0,0,17,9,42
2018-06,Gambia,237,89,79,10,223,0,4,2,9,127,81,465,58,0,4,1,9,124,61,0,0,1,0,3,8,12
2018-07,Gambia,237,121,101,20,212,0,4,0,5,116,87,454,55,0,4,0,4,113,61,0,0,0,1,3,11,15
2018-08,Gambia,237,98,79,19,211,0,7,0,10,97,97,416,53,0,7,0,9,90,65,0,0,0,1,7,11,21
2018-09,Gambia,237,75,60,15,174,0,4,0,7,85,78,385,50,0,4,0,6,83,63,0,0,0,1,2,10,5
2018-10,Gambia,237,135,122,13,233,1,4,1,15,133,79,375,44,1,4,1,15,130,58,0,0,0,0,3,11,10
2018-11,Gambia,237,112,92,20,268,1,8,0,1,146,112,319,48,1,8,0,1,138,94,0,0,0,0,8,10,8
2018-12,Gambia,237,79,66,13,152,0,2,0,7,64,79,296,47,0,2,0,6,62,62,0,0,0,1,2,10,7
