YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Georgien,430,745,696,49,854,2,0,0,9,704,139,936,65,2,0,0,8,689,74,0,0,0,1,15,43,22
2018-02,Georgien,430,596,562,34,829,0,4,2,2,691,130,818,55,0,4,2,2,669,80,0,0,0,0,22,31,19
2018-03,Georgien,430,544,490,54,760,0,1,6,10,626,117,632,76,0,1,6,9,618,82,0,0,0,1,8,25,10
2018-04,Georgien,430,330,295,35,529,0,0,0,9,430,90,486,69,0,0,0,9,422,52,0,0,0,0,8,33,5
2018-05,Georgien,430,214,174,40,360,0,1,0,0,279,80,389,56,0,1,0,0,265,27,0,0,0,0,14,43,10
2018-06,Georgien,430,211,173,38,337,0,0,0,3,271,63,283,64,0,0,0,3,264,36,0,0,0,0,7,21,6
2018-07,Georgien,430,216,169,47,199,0,0,0,1,143,55,312,78,0,0,0,1,138,25,0,0,0,0,5,20,10
2018-08,Georgien,430,230,180,50,273,0,0,0,1,182,90,293,65,0,0,0,1,179,29,0,0,0,0,3,54,7
2018-09,Georgien,430,171,155,16,174,0,0,0,1,135,38,323,63,0,0,0,1,133,16,0,0,0,0,2,18,4
2018-10,Georgien,430,298,263,35,279,0,0,1,4,212,62,369,68,0,0,1,3,203,30,0,0,0,1,9,28,4
2018-11,Georgien,430,286,241,45,334,0,1,0,4,252,77,340,77,0,1,0,4,243,40,0,0,0,0,9,26,11
2018-12,Georgien,430,303,268,35,278,0,0,0,0,215,63,386,73,0,0,0,0,211,21,0,0,0,0,4,32,10
