YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Jemen,421,88,87,1,62,0,8,33,2,0,19,246,5,0,8,33,0,0,18,0,0,0,2,0,0,1
2018-02,Jemen,421,100,100,0,58,1,3,20,1,0,33,297,5,1,3,20,0,0,32,0,0,0,1,0,0,1
2018-03,Jemen,421,77,77,0,118,2,6,41,1,3,65,280,3,2,6,41,0,3,63,0,0,0,1,0,1,1
2018-04,Jemen,421,61,61,0,101,0,5,63,0,1,32,260,4,0,5,62,0,1,32,0,0,1,0,0,0,0
2018-05,Jemen,421,69,69,0,68,1,5,30,0,0,32,262,4,1,5,30,0,0,31,0,0,0,0,0,0,1
2018-06,Jemen,421,67,67,0,62,1,2,35,0,2,22,278,4,1,2,35,0,2,22,0,0,0,0,0,0,0
2018-07,Jemen,421,73,72,1,57,0,3,28,3,4,19,313,6,0,3,27,2,4,19,0,0,1,1,0,0,0
2018-08,Jemen,421,37,37,0,85,1,14,48,2,5,15,275,4,1,14,48,0,5,15,0,0,0,2,0,0,0
2018-09,Jemen,421,49,46,3,96,4,8,57,0,0,27,239,7,4,8,56,0,0,27,0,0,1,0,0,0,0
2018-10,Jemen,421,89,79,10,90,0,7,65,0,0,18,263,7,0,7,64,0,0,8,0,0,1,0,0,2,8
2018-11,Jemen,421,91,88,3,72,0,2,52,8,0,10,299,9,0,2,52,2,0,9,0,0,0,6,0,0,1
2018-12,Jemen,421,62,60,2,43,0,3,31,1,0,8,324,8,0,2,31,1,0,6,0,1,0,0,0,1,1
