YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Nigeria,232,948,884,64,1650,9,133,14,178,757,559,3524,256,9,126,14,171,741,478,0,7,0,7,16,32,49
2018-02,Nigeria,232,771,707,64,1375,2,115,19,142,530,567,3195,232,2,104,19,124,516,487,0,11,0,18,14,40,40
2018-03,Nigeria,232,978,914,64,1325,11,113,18,121,478,584,3214,209,11,109,18,112,470,502,0,4,0,9,8,55,27
2018-04,Nigeria,232,1005,946,59,1264,1,67,10,93,454,639,3240,191,1,67,10,87,439,555,0,0,0,6,15,45,39
2018-05,Nigeria,232,1017,940,77,1264,0,77,5,61,439,682,3188,204,0,74,5,52,429,627,0,3,0,9,10,30,25
2018-06,Nigeria,232,935,881,54,1121,2,34,2,38,467,578,3209,176,2,34,2,33,458,501,0,0,0,5,9,38,39
2018-07,Nigeria,232,944,848,96,1019,3,18,4,44,382,568,3274,207,3,18,4,42,368,517,0,0,0,2,14,30,21
2018-08,Nigeria,232,829,746,83,1103,2,44,14,51,498,494,3191,227,2,43,14,47,487,429,0,1,0,4,11,33,32
2018-09,Nigeria,232,670,616,54,946,2,25,13,28,474,404,3156,220,2,25,13,25,465,338,0,0,0,3,9,46,20
2018-10,Nigeria,232,794,719,75,1028,4,48,14,45,491,426,3179,214,4,42,14,43,485,343,0,6,0,2,6,53,30
2018-11,Nigeria,232,709,623,86,1094,6,41,8,60,525,454,3092,209,6,37,8,57,508,373,0,4,0,3,17,51,30
2018-12,Nigeria,232,554,497,57,706,2,36,5,30,307,326,3119,210,2,30,5,25,298,272,0,6,0,5,9,33,21
