YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Somalia,273,535,471,64,1104,1,234,191,131,169,378,2485,235,1,229,188,96,162,300,0,5,3,35,7,33,45
2018-02,Somalia,273,427,374,53,875,4,201,140,57,149,324,2327,227,4,196,139,39,146,249,0,5,1,18,3,29,46
2018-03,Somalia,273,457,404,53,905,5,192,124,83,164,337,2193,215,5,185,122,53,149,264,0,7,2,30,15,16,57
2018-04,Somalia,273,480,415,65,857,2,205,106,65,166,313,2068,225,2,198,105,48,161,244,0,7,1,17,5,22,47
2018-05,Somalia,273,454,410,44,700,1,131,27,53,180,308,1987,210,1,123,27,46,176,230,0,8,0,7,4,34,44
2018-06,Somalia,273,417,376,41,554,0,86,20,31,137,280,2015,193,0,83,20,23,133,215,0,3,0,8,4,16,49
2018-07,Somalia,273,463,409,54,523,1,89,21,37,132,243,2111,201,1,88,18,25,123,185,0,1,3,12,9,26,32
2018-08,Somalia,273,456,412,44,601,3,144,31,57,137,229,2129,187,3,141,31,44,135,173,0,3,0,13,2,25,31
2018-09,Somalia,273,342,301,41,552,1,130,32,37,131,221,2051,180,1,126,32,29,129,151,0,4,0,8,2,27,43
2018-10,Somalia,273,401,359,42,635,7,155,27,42,143,261,1990,180,7,148,27,29,138,186,0,7,0,13,5,26,49
2018-11,Somalia,273,336,296,40,667,1,184,43,32,144,263,1796,173,1,179,42,25,140,203,0,5,1,7,4,18,42
2018-12,Somalia,273,228,190,38,427,2,134,27,30,96,138,1704,166,2,122,27,22,93,99,0,12,0,8,3,12,27
