YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Staatenlos,997,78,76,2,254,6,93,46,28,58,23,421,21,6,91,43,27,58,18,0,2,3,1,0,3,2
2018-02,Staatenlos,997,85,78,7,162,5,64,17,10,35,31,410,24,5,63,16,10,31,25,0,1,1,0,4,6,0
2018-03,Staatenlos,997,71,58,13,172,0,53,12,4,27,76,376,30,0,51,12,4,26,66,0,2,0,0,1,2,8
2018-04,Staatenlos,997,109,100,9,153,10,70,15,5,24,29,399,39,10,68,15,4,24,29,0,2,0,1,0,0,0
2018-05,Staatenlos,997,76,66,10,134,10,39,15,5,18,47,373,35,10,37,15,1,17,41,0,2,0,4,1,0,6
2018-06,Staatenlos,997,104,101,3,86,7,16,10,1,8,44,442,19,7,12,9,1,8,30,0,4,1,0,0,11,3
2018-07,Staatenlos,997,74,70,4,90,0,33,11,1,8,37,446,18,0,31,10,1,8,32,0,2,1,0,0,4,1
2018-08,Staatenlos,997,62,58,4,105,9,53,14,0,3,26,446,19,9,52,14,0,3,22,0,1,0,0,0,3,1
2018-09,Staatenlos,997,74,69,5,80,1,43,3,0,16,17,447,19,1,41,3,0,16,15,0,2,0,0,0,2,0
2018-10,Staatenlos,997,67,63,4,124,8,77,10,1,11,17,420,18,8,74,10,0,11,14,0,3,0,1,0,2,1
2018-11,Staatenlos,997,63,51,12,110,6,53,15,0,14,22,371,26,6,53,15,0,12,14,0,0,0,0,2,5,3
2018-12,Staatenlos,997,34,28,6,64,6,43,5,1,3,6,377,26,6,41,5,1,3,2,0,2,0,0,0,4,0
