YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2018-01,0,0,0,2,103,24
2018-02,0,1,0,0,115,62
2018-03,0,0,0,0,199,20
2018-04,0,0,0,1,139,39
2018-05,0,0,0,1,85,47
2018-06,0,0,0,0,132,123
2018-07,0,0,0,0,151,83
2018-08,0,0,0,0,238,88
2018-09,0,4,1,0,148,51
2018-10,0,0,0,1,76,38
2018-11,0,0,1,2,69,20
2018-12,0,1,2,1,102,60
2019-01,0,0,0,2,291,115
2019-02,0,0,0,5,241,129
2019-03,0,0,0,1,143,94
2019-04,0,0,0,0,101,78
2019-05,1,1,0,0,56,67
2019-06,0,0,0,1,35,51
2019-07,0,0,0,1,45,59
2019-08,0,0,0,2,61,74
2019-09,0,0,0,0,90,87
2019-10,0,0,0,0,52,107
2019-11,0,0,0,0,126,196
2019-12,0,0,0,1,84,208
