YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2018-01,3,1,0,1,12
2018-02,0,7,0,0,7
2018-03,0,6,0,3,19
2018-04,1,4,0,2,17
2018-05,4,5,0,0,11
2018-06,3,0,0,1,5
2018-07,0,6,0,3,7
2018-08,0,1,3,1,28
2018-09,0,9,1,1,15
2018-10,3,3,0,5,29
2018-11,1,5,0,5,26
2018-12,3,1,0,1,13
2019-01,7,2,1,2,44
2019-02,15,5,0,1,47
2019-03,8,6,0,9,31
2019-04,7,3,3,9,8
2019-05,0,3,0,2,0
2019-06,0,0,0,0,0
2019-07,0,0,0,0,0
2019-08,0,0,0,2,0
2019-09,0,1,0,0,4
2019-10,0,0,0,0,1
2019-11,0,2,5,2,0
2019-12,8,0,4,14,7
