YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Albanien,121,299,167,132,425,0,0,0,3,240,182,306,167,0,0,0,3,223,48,0,0,0,0,17,124,10
2018-02,Albanien,121,191,134,57,303,0,2,1,6,168,126,280,113,0,2,1,1,158,27,0,0,0,5,10,92,7
2018-03,Albanien,121,238,138,100,328,0,0,4,1,184,139,240,116,0,0,0,1,173,40,0,0,4,0,11,83,16
2018-04,Albanien,121,220,141,79,238,0,0,0,1,125,112,266,112,0,0,0,1,121,30,0,0,0,0,4,71,11
2018-05,Albanien,121,174,144,30,261,0,0,1,2,163,95,229,94,0,0,1,2,152,44,0,0,0,0,11,44,7
2018-06,Albanien,121,192,114,78,231,0,0,0,1,145,85,185,129,0,0,0,1,145,33,0,0,0,0,0,39,13
2018-07,Albanien,121,277,145,132,204,0,0,0,0,105,99,234,169,0,0,0,0,100,11,0,0,0,0,5,80,8
2018-08,Albanien,121,223,157,66,251,0,0,0,2,125,124,256,133,0,0,0,2,116,25,0,0,0,0,9,88,11
2018-09,Albanien,121,224,127,97,231,1,4,1,6,126,93,261,145,1,0,1,6,122,5,0,4,0,0,4,78,10
2018-10,Albanien,121,309,206,103,281,0,0,0,0,168,113,287,157,0,0,0,0,156,33,0,0,0,0,12,75,5
2018-11,Albanien,121,249,157,92,277,0,0,0,0,142,135,282,147,0,0,0,0,139,33,0,0,0,0,3,98,4
2018-12,Albanien,121,183,123,60,219,0,0,1,3,92,123,290,116,0,0,0,2,85,34,0,0,1,1,7,76,13
2019-01,Albanien,121,350,248,102,417,0,0,2,1,270,144,254,112,0,0,2,0,254,33,0,0,0,1,16,93,18
2019-02,Albanien,121,224,153,71,252,0,0,1,0,162,89,241,116,0,0,1,0,143,20,0,0,0,0,19,57,12
2019-03,Albanien,121,151,103,48,223,0,1,0,0,124,98,214,93,0,1,0,0,117,21,0,0,0,0,7,62,15
2019-04,Albanien,121,205,100,105,233,0,0,1,0,131,101,173,106,0,0,1,0,120,17,0,0,0,0,11,70,14
2019-05,Albanien,121,189,127,62,198,0,0,0,0,109,89,191,93,0,0,0,0,105,13,0,0,0,0,4,58,18
2019-06,Albanien,121,163,112,51,149,0,1,0,0,82,66,203,99,0,1,0,0,82,19,0,0,0,0,0,35,12
2019-07,Albanien,121,224,167,57,216,0,0,5,1,111,99,245,82,0,0,5,0,107,20,0,0,0,1,4,58,21
2019-08,Albanien,121,195,130,65,216,0,0,3,0,118,95,230,81,0,0,3,0,114,26,0,0,0,0,4,57,12
2019-09,Albanien,121,208,128,80,170,0,0,0,1,104,65,235,116,0,0,0,1,101,13,0,0,0,0,3,40,12
2019-10,Albanien,121,187,129,58,178,0,1,1,3,80,93,271,102,0,1,0,0,78,24,0,0,1,3,2,58,11
