YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,0,0,2,1,270,144
2019-02,0,0,1,0,162,89
2019-03,0,1,0,0,124,98
2019-04,0,0,1,0,131,101
2019-05,0,0,0,0,109,89
2019-06,0,1,0,0,82,66
2019-07,0,0,5,1,111,99
2019-08,0,0,3,0,118,95
2019-09,0,0,0,1,104,65
2019-10,0,1,1,3,80,93
2019-11,0,0,0,0,126,81
2019-12,0,0,1,0,98,59
2020-01,0,0,0,0,170,102
2020-02,0,1,0,0,127,107
2020-03,0,0,0,1,78,69
2020-04,0,1,0,0,16,11
2020-05,0,0,2,1,116,61
2020-06,0,0,1,0,81,35
2020-07,0,2,0,2,61,52
2020-08,0,0,0,0,36,30
