YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Aserbaidschan,425,238,202,36,535,5,17,2,22,285,204,850,85,5,17,2,22,269,144,0,0,0,0,16,50,10
2018-02,Aserbaidschan,425,138,100,38,388,0,13,5,5,236,129,662,93,0,11,5,5,233,105,0,2,0,0,3,21,3
2018-03,Aserbaidschan,425,149,108,41,387,2,20,8,3,200,154,490,90,2,20,8,3,192,119,0,0,0,0,8,29,6
2018-04,Aserbaidschan,425,179,149,30,252,0,11,2,6,133,100,469,90,0,10,2,6,121,78,0,1,0,0,12,19,3
2018-05,Aserbaidschan,425,180,149,31,219,0,11,0,2,85,121,465,87,0,11,0,2,81,90,0,0,0,0,4,26,5
2018-06,Aserbaidschan,425,166,128,38,210,0,3,0,0,86,121,451,90,0,3,0,0,78,90,0,0,0,0,8,29,2
2018-07,Aserbaidschan,425,202,144,58,193,0,6,0,5,67,115,465,116,0,6,0,1,66,89,0,0,0,4,1,20,6
2018-08,Aserbaidschan,425,207,139,68,250,0,6,0,3,112,129,457,125,0,6,0,3,102,80,0,0,0,0,10,43,6
2018-09,Aserbaidschan,425,182,131,51,183,2,6,3,1,89,82,475,150,2,6,3,1,88,55,0,0,0,0,1,24,3
2018-10,Aserbaidschan,425,241,169,72,317,2,1,0,3,153,158,481,122,2,1,0,3,143,72,0,0,0,0,10,74,12
2018-11,Aserbaidschan,425,181,146,35,295,8,11,3,6,156,111,456,110,8,11,0,6,155,68,0,0,3,0,1,34,9
2018-12,Aserbaidschan,425,127,97,30,174,1,8,1,1,108,55,448,115,1,8,1,1,105,31,0,0,0,0,3,24,0
2019-01,Aserbaidschan,425,274,214,60,205,2,5,2,0,114,82,548,131,2,5,2,0,106,42,0,0,0,0,8,32,8
2019-02,Aserbaidschan,425,150,112,38,286,0,9,8,1,164,104,467,122,0,9,3,1,153,70,0,0,5,0,11,31,3
2019-03,Aserbaidschan,425,139,73,66,243,0,13,3,2,124,101,403,140,0,12,2,2,122,52,0,1,1,0,2,38,11
2019-04,Aserbaidschan,425,182,123,59,216,1,6,0,2,136,71,405,166,1,6,0,2,132,41,0,0,0,0,4,20,10
2019-05,Aserbaidschan,425,120,85,35,260,0,7,2,1,143,107,355,122,0,7,2,1,134,37,0,0,0,0,9,56,14
2019-06,Aserbaidschan,425,110,76,34,195,3,6,0,1,87,98,305,109,3,6,0,1,80,53,0,0,0,0,7,25,20
2019-07,Aserbaidschan,425,214,156,58,124,0,1,0,1,58,64,395,136,0,1,0,1,58,30,0,0,0,0,0,27,7
2019-08,Aserbaidschan,425,136,82,54,183,0,0,0,0,80,103,392,131,0,0,0,0,73,51,0,0,0,0,7,40,12
2019-09,Aserbaidschan,425,104,80,24,188,0,1,4,0,90,93,369,108,0,1,4,0,87,47,0,0,0,0,3,27,19
2019-10,Aserbaidschan,425,130,92,38,142,0,4,1,2,63,72,364,124,0,4,1,0,55,54,0,0,0,2,8,2,16
2019-11,Aserbaidschan,425,101,78,23,127,0,0,4,3,55,65,371,108,0,0,0,1,53,31,0,0,4,2,2,29,5
2019-12,Aserbaidschan,425,81,63,18,103,0,1,1,0,47,54,371,107,0,1,1,0,37,39,0,0,0,0,10,3,12
2020-01,Aserbaidschan,425,131,73,58,145,0,1,0,1,80,63,338,129,0,1,0,1,78,30,0,0,0,0,2,33,0
2020-02,Aserbaidschan,425,80,61,19,94,1,0,0,3,55,35,352,126,1,0,0,3,47,21,0,0,0,0,8,13,1
2020-03,Aserbaidschan,425,67,57,10,138,0,4,1,1,67,65,354,95,0,4,1,1,56,28,0,0,0,0,11,36,1
2020-04,Aserbaidschan,425,53,39,14,71,1,2,0,0,46,22,360,99,1,2,0,0,41,11,0,0,0,0,5,10,1
2020-05,Aserbaidschan,425,36,25,11,173,3,5,2,4,123,36,279,86,3,5,2,3,114,12,0,0,0,1,9,24,0
2020-06,Aserbaidschan,425,36,14,22,145,0,4,1,1,114,25,209,94,0,4,1,1,101,17,0,0,0,0,13,6,2
2020-07,Aserbaidschan,425,58,33,25,106,0,8,0,0,72,26,194,96,0,8,0,0,69,5,0,0,0,0,3,21,0
2020-08,Aserbaidschan,425,32,16,16,84,1,6,0,1,59,17,172,96,1,6,0,0,53,3,0,0,0,1,6,12,2
