YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2018-01,Eritrea,224,455,423,32,1091,101,386,410,33,26,135,1587,76,101,383,408,22,26,114,0,3,2,11,0,4,17
2018-02,Eritrea,224,336,289,47,663,39,238,213,18,25,130,1533,82,39,234,211,10,23,96,0,4,2,8,2,13,21
2018-03,Eritrea,224,704,676,28,771,33,235,228,26,15,234,1789,79,33,232,221,15,15,213,0,3,7,11,0,5,16
2018-04,Eritrea,224,779,759,20,1049,12,206,492,19,33,287,1793,75,12,206,489,12,33,258,0,0,3,7,0,8,21
2018-05,Eritrea,224,470,441,29,778,7,89,327,18,33,304,1668,74,7,87,325,9,33,283,0,2,2,9,0,6,15
2018-06,Eritrea,224,423,399,24,595,3,33,190,30,33,306,1658,73,3,31,185,23,33,284,0,2,5,7,0,10,12
2018-07,Eritrea,224,325,298,27,416,0,70,122,15,26,183,1715,74,0,70,121,10,26,164,0,0,1,5,0,5,14
2018-08,Eritrea,224,328,299,29,519,8,148,161,20,36,146,1677,79,8,146,155,19,35,120,0,2,6,1,1,11,15
2018-09,Eritrea,224,289,269,20,483,4,156,166,24,27,106,1634,83,4,154,162,17,27,95,0,2,4,7,0,4,7
2018-10,Eritrea,224,316,296,20,585,7,180,190,27,33,148,1561,80,7,179,185,20,33,129,0,1,5,7,0,6,13
2018-11,Eritrea,224,284,260,24,508,0,174,187,20,28,99,1481,73,0,172,182,14,26,69,0,2,5,6,2,8,22
2018-12,Eritrea,224,206,184,22,354,1,104,128,23,21,77,1463,71,1,104,124,20,21,55,0,0,4,3,0,4,18
2019-01,Eritrea,224,273,254,19,474,11,158,153,26,43,83,1423,64,11,158,149,19,41,63,0,0,4,7,2,8,12
2019-02,Eritrea,224,262,245,17,423,0,145,91,50,48,89,1394,59,0,144,87,39,46,68,0,1,4,11,2,6,15
2019-03,Eritrea,224,299,276,23,498,3,230,94,41,33,97,1340,54,3,229,93,31,31,67,0,1,1,10,2,11,19
2019-04,Eritrea,224,256,238,18,469,1,202,87,54,26,99,1235,56,1,201,80,44,24,88,0,1,7,10,2,4,7
2019-05,Eritrea,224,288,264,24,400,0,176,61,46,32,85,1217,59,0,174,59,40,32,66,0,2,2,6,0,3,16
2019-06,Eritrea,224,244,225,19,342,16,166,50,28,21,61,1198,64,16,166,44,22,20,52,0,0,6,6,1,3,6
