YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,3,37,6,9,222,154
2019-02,0,29,7,6,210,163
2019-03,2,54,2,14,172,165
2019-04,5,25,5,10,157,156
2019-05,1,30,6,15,136,110
2019-06,1,38,5,11,138,98
2019-07,5,35,4,14,121,95
2019-08,1,16,5,11,109,84
2019-09,3,18,5,8,95,71
2019-10,1,13,10,6,82,58
2019-11,3,24,6,12,102,61
2019-12,3,20,7,4,84,76
2020-01,3,19,8,10,128,80
2020-02,3,19,5,10,101,63
2020-03,4,14,8,4,76,60
2020-04,0,10,1,4,29,9
2020-05,2,28,8,14,184,50
2020-06,1,37,14,14,153,54
2020-07,3,31,14,9,124,38
2020-08,0,17,7,5,67,52
