YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2017-01,0,9,2,1,194
2017-02,0,7,0,5,161
2017-03,0,2,0,6,170
2017-04,1,3,1,6,85
2017-05,0,2,0,5,139
2017-06,0,3,0,2,39
2017-07,0,0,0,4,52
2017-08,0,2,0,3,39
2017-09,0,3,0,2,23
2017-10,0,0,0,6,20
2017-11,0,1,1,1,34
2017-12,0,0,0,0,30
2018-01,0,0,0,2,24
2018-02,0,2,3,0,21
2018-03,0,0,0,0,25
2018-04,2,0,0,0,13
2018-05,0,1,0,0,17
2018-06,0,0,0,0,17
2018-07,0,0,0,0,18
2018-08,0,0,0,0,8
2018-09,0,0,0,1,10
2018-10,0,0,0,0,15
2018-11,0,0,0,0,14
2018-12,0,0,0,0,7
2019-01,0,1,0,1,16
2019-02,0,3,0,0,18
2019-03,0,0,0,1,20
2019-04,0,0,0,0,15
2019-05,0,1,0,0,12
2019-06,0,0,0,1,10
2019-07,0,1,0,0,11
2019-08,0,1,0,0,8
2019-09,0,0,0,0,3
2019-10,0,1,0,1,5
2019-11,0,0,0,0,11
2019-12,0,2,0,0,20
2020-01,0,0,0,1,17
2020-02,0,0,0,0,12
2020-03,0,1,0,1,4
2020-04,0,0,0,0,6
