YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,39,2079,1880,33,8
2019-02,23,1891,1803,18,1
2019-03,39,2833,1331,244,4
2019-04,45,1889,420,142,1
2019-05,33,1791,369,10,4
2019-06,12,1577,1106,13,8
2019-07,37,2184,2261,21,3
2019-08,38,1754,1430,18,13
2019-09,19,1512,1197,17,5
2019-10,25,1491,1151,18,7
2019-11,27,1894,1262,17,2
2019-12,16,1476,950,15,2
2020-01,25,1681,1398,17,3
2020-02,34,1514,1334,22,9
2020-03,11,1841,1206,14,6
2020-04,25,1012,158,3,4
2020-05,25,1573,1666,20,4
2020-06,23,1767,1499,12,4
2020-07,17,1691,1348,39,6
2020-08,19,1496,1236,14,6
