YEAR_MONTH,Asylberechtigt,Fluechtling, subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,97,426,5,3,432
2019-02,70,459,2,4,429
2019-03,79,378,4,3,358
2019-04,56,267,4,1,351
2019-05,40,252,0,4,369
2019-06,30,138,1,4,314
2019-07,66,289,4,3,410
2019-08,60,338,9,2,386
2019-09,66,308,7,2,342
2019-10,53,252,0,1,388
2019-11,44,332,1,3,360
2019-12,109,669,1,3,308
2020-01,58,534,8,4,473
2020-02,43,338,2,1,405
2020-03,54,436,1,2,365
2020-04,42,302,0,2,193
2020-05,38,365,5,3,693
2020-06,89,429,2,7,561
2020-07,57,300,2,4,499
2020-08,29,207,2,2,308
