YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2019-01,Afghanistan,423,896,753,143,1420,4,190,70,307,375,474,3036,405,4,178,65,244,357,286,0,12,5,63,18,104,84
2019-02,Afghanistan,423,698,557,141,1198,4,178,49,253,279,435,2780,414,4,163,44,199,269,280,0,15,5,54,10,103,52
2019-03,Afghanistan,423,860,745,115,1049,7,183,45,197,260,357,2852,412,7,169,44,142,246,204,0,14,1,55,14,86,67
2019-04,Afghanistan,423,791,640,151,1002,2,172,49,191,206,382,2801,440,2,162,44,156,198,241,0,10,5,35,8,75,66
2019-05,Afghanistan,423,918,779,139,1176,3,164,44,239,231,495,2750,433,3,154,42,205,210,331,0,10,2,34,21,104,60
2019-06,Afghanistan,423,717,623,94,856,2,116,32,158,208,340,2799,420,2,98,32,127,200,213,0,18,0,31,8,71,56
2019-07,Afghanistan,423,993,853,140,934,2,148,32,149,205,398,3000,467,2,146,32,120,188,276,0,2,0,29,17,78,44
2019-08,Afghanistan,423,999,866,133,985,7,107,22,188,167,494,3162,469,7,97,22,156,157,343,0,10,0,32,10,92,59
2019-09,Afghanistan,423,1029,919,110,1000,0,96,32,200,185,487,3393,438,0,91,27,152,172,335,0,5,5,48,13,75,77
2019-10,Afghanistan,423,947,842,105,914,2,106,34,176,177,419,3564,430,2,101,30,152,172,286,0,5,4,24,5,80,53
2019-11,Afghanistan,423,895,768,127,979,0,144,42,176,219,398,3623,472,0,140,40,142,208,290,0,4,2,34,11,63,45
2019-12,Afghanistan,423,744,647,97,785,0,95,29,143,177,341,3697,491,0,85,28,118,166,238,0,10,1,25,11,55,48
