YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von E Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraege,ENTSCHEIDUNGEN ueber ErErstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN üueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2019-01,Moldau (Republik),146,510,408,102,408,0,0,0,2,291,115,401,67,0,0,0,2,287,0,0,0,0,0,4,110,5
2019-02,Moldau (Republik),146,273,175,98,375,0,0,0,5,241,129,311,52,0,0,0,5,235,20,0,0,0,0,6,94,15
2019-03,Moldau (Republik),146,116,72,44,238,0,0,0,1,143,94,203,43,0,0,0,0,142,39,0,0,0,1,1,49,6
2019-04,Moldau (Republik),146,103,56,47,179,0,0,0,0,101,78,144,27,0,0,0,0,98,18,0,0,0,0,3,51,9
2019-05,Moldau (Republik),146,101,76,25,125,1,1,0,0,56,67,120,29,1,1,0,0,56,39,0,0,0,0,0,25,3
2019-06,Moldau (Republik),146,81,42,39,87,0,0,0,1,35,51,114,32,0,0,0,1,32,13,0,0,0,0,3,38,0
2019-07,Moldau (Republik),146,123,70,53,105,0,0,0,1,45,59,135,29,0,0,0,1,44,5,0,0,0,0,1,53,1
2019-08,Moldau (Republik),146,153,84,69,137,0,0,0,2,61,74,145,36,0,0,0,2,61,13,0,0,0,0,0,61,0
2019-09,Moldau (Republik),146,219,142,77,177,0,0,0,0,90,87,187,38,0,0,0,0,90,12,0,0,0,0,0,75,0
2019-10,Moldau (Republik),146,294,181,113,159,0,0,0,0,52,107,303,64,0,0,0,0,51,20,0,0,0,0,1,77,10
2019-11,Moldau (Republik),146,427,255,172,322,0,0,0,0,126,196,387,85,0,0,0,0,121,45,0,0,0,0,5,134,17
2019-12,Moldau (Republik),146,418,214,204,293,0,0,0,1,84,208,472,128,0,0,0,1,84,42,0,0,0,0,0,150,16
