YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,2,5,2,0,114
2019-02,0,9,8,1,164
2019-03,0,13,3,2,124
2019-04,1,6,0,2,136
2019-05,0,7,2,1,143
2019-06,3,6,0,1,87
2019-07,0,1,0,1,58
2019-08,0,0,0,0,80
2019-09,0,1,4,0,90
2019-10,0,4,1,2,63
2019-11,0,0,4,3,55
2019-12,0,1,1,0,47
2020-01,0,1,0,1,80
2020-02,1,0,0,3,55
2020-03,0,4,1,1,67
2020-04,1,2,0,0,46
2020-05,3,5,2,4,123
2020-06,0,4,1,1,114
2020-07,0,8,0,0,72
2020-08,1,6,0,1,59
2020-09,0,8,1,2,51
2020-10,0,4,3,1,37
2020-11,0,5,1,2,56
2020-12,0,3,3,0,33
