YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,3,37,6,9,222
2019-02,0,29,7,6,210
2019-03,2,54,2,14,172
2019-04,5,25,5,10,157
2019-05,1,30,6,15,136
2019-06,1,38,5,11,138
2019-07,5,35,4,14,121
2019-08,1,16,5,11,109
2019-09,3,18,5,8,95
2019-10,1,13,10,6,82
2019-11,3,24,6,12,102
2019-12,3,20,7,4,84
2020-01,3,19,8,10,128
2020-02,3,19,5,10,101
2020-03,4,14,8,4,76
2020-04,0,10,1,4,29
2020-05,2,28,8,14,184
2020-06,1,37,14,14,153
2020-07,3,31,14,9,124
2020-08,0,17,7,5,67
2020-09,2,19,10,9,76
2020-10,6,20,8,10,69
2020-11,2,37,6,4,76
2020-12,6,21,12,4,74
