YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,0,23,60,0,0
2019-02,7,19,83,2,1
2019-03,0,4,53,5,6
2019-04,0,12,67,0,1
2019-05,0,14,53,1,0
2019-06,1,1,63,0,0
2019-07,0,7,41,0,4
2019-08,5,5,67,0,0
2019-09,0,2,39,3,0
2019-10,0,3,28,1,0
2019-11,0,2,38,2,5
2019-12,0,1,33,0,1
2020-01,2,9,40,2,2
2020-02,0,4,35,4,10
2020-03,1,8,40,2,7
2020-04,1,2,16,0,7
2020-05,2,0,38,0,22
2020-06,2,2,15,2,13
2020-07,4,4,27,1,12
2020-08,1,0,21,2,11
2020-09,2,10,15,2,7
2020-10,0,10,10,6,15
2020-11,3,1,19,7,6
2020-12,5,6,18,1,9
