YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,5,58,4,44,520,468
2019-02,4,61,17,50,542,795
2019-03,3,44,13,46,568,901
2019-04,2,42,16,33,584,1004
2019-05,1,40,4,31,612,1010
2019-06,0,36,4,34,417,803
2019-07,3,26,5,37,442,763
2019-08,3,19,6,29,436,581
2019-09,2,23,7,20,365,391
2019-10,0,23,3,26,354,438
2019-11,0,28,4,32,356,372
2019-12,0,24,10,12,254,325
2020-01,3,23,4,44,324,400
2020-02,0,9,3,13,264,339
2020-03,3,26,3,21,270,318
2020-04,0,5,2,10,177,132
2020-05,0,26,4,40,618,369
2020-06,1,38,7,48,401,363
2020-07,1,28,5,14,454,262
2020-08,0,32,2,19,225,184
2020-09,2,18,0,14,267,195
2020-10,1,26,2,26,303,195
2020-11,4,20,6,25,341,185
2020-12,1,17,8,13,253,179
