YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2019-01,13,26,9,0,281
2019-02,10,9,14,1,241
2019-03,7,11,3,5,257
2019-04,0,12,2,2,211
2019-05,2,16,8,3,207
2019-06,17,10,8,1,147
2019-07,5,18,6,7,158
2019-08,13,15,12,1,205
2019-09,7,7,4,6,148
2019-10,7,16,6,0,169
2019-11,16,7,3,6,162
2019-12,6,1,0,2,122
2020-01,12,7,14,3,199
2020-02,3,5,5,1,155
2020-03,15,6,1,6,172
2020-04,6,5,0,3,121
2020-05,7,19,6,6,223
2020-06,1,18,5,2,230
2020-07,4,13,4,6,208
2020-08,3,11,9,2,77
2020-09,1,6,1,4,106
2020-10,4,13,5,3,144
2020-11,3,9,3,8,194
2020-12,4,7,5,3,103
