YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,97,426,5,3,432,106
2019-02,70,459,2,4,429,95
2019-03,79,378,4,3,358,98
2019-04,56,267,4,1,351,98
2019-05,40,252,0,4,369,93
2019-06,30,138,1,4,314,81
2019-07,66,289,4,3,410,108
2019-08,60,338,9,2,386,98
2019-09,66,308,7,2,342,78
2019-10,53,252,0,1,388,86
2019-11,44,332,1,3,360,107
2019-12,109,669,1,3,308,73
2020-01,58,534,8,4,473,145
2020-02,43,338,2,1,405,84
2020-03,54,436,1,2,365,93
2020-04,42,302,0,2,193,50
2020-05,38,365,5,3,693,108
2020-06,89,429,2,7,561,90
2020-07,57,300,2,4,499,71
2020-08,29,207,2,2,308,89
2020-09,32,210,1,2,298,86
2020-10,12,200,2,2,310,74
2020-11,34,178,4,4,336,95
2020-12,22,208,2,5,278,77
