YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2019-01,7,2,1,2,44,1
2019-02,15,5,0,1,47,0
2019-03,8,6,0,9,31,3
2019-04,7,3,3,9,8,6
2019-05,0,3,0,2,0,1
2019-06,0,0,0,0,0,0
2019-07,0,0,0,0,0,0
2019-08,0,0,0,2,0,2
2019-09,0,1,0,0,4,0
2019-10,0,0,0,0,1,0
2019-11,0,2,5,2,0,1
2019-12,8,0,4,14,7,1
2020-01,21,7,0,36,36,0
2020-02,5,0,0,54,124,1
2020-03,14,4,2,35,89,7
2020-04,2,1,3,6,22,1
2020-05,2,5,0,28,127,0
2020-06,5,2,2,28,67,1
2020-07,5,3,0,27,30,2
2020-08,7,5,3,26,23,4
2020-09,1,2,1,44,28,4
2020-10,5,0,0,36,27,5
2020-11,5,2,2,40,42,3
2020-12,8,5,0,6,21,1
