YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Aserbaidschan,425,131,73,58,145,0,1,0,1,80,63,338,129,0,1,0,1,78,30,0,0,0,0,2,33,0
2020-02,Aserbaidschan,425,80,61,19,94,1,0,0,3,55,35,352,126,1,0,0,3,47,21,0,0,0,0,8,13,1
2020-03,Aserbaidschan,425,67,57,10,138,0,4,1,1,67,65,354,95,0,4,1,1,56,28,0,0,0,0,11,36,1
2020-04,Aserbaidschan,425,53,39,14,71,1,2,0,0,46,22,360,99,1,2,0,0,41,11,0,0,0,0,5,10,1
2020-05,Aserbaidschan,425,36,25,11,173,3,5,2,4,123,36,279,86,3,5,2,3,114,12,0,0,0,1,9,24,0
2020-06,Aserbaidschan,425,36,14,22,145,0,4,1,1,114,25,209,94,0,4,1,1,101,17,0,0,0,0,13,6,2
2020-07,Aserbaidschan,425,58,33,25,106,0,8,0,0,72,26,194,96,0,8,0,0,69,5,0,0,0,0,3,21,0
2020-08,Aserbaidschan,425,32,16,16,84,1,6,0,1,59,17,172,96,1,6,0,0,53,3,0,0,0,1,6,12,2
2020-09,Aserbaidschan,425,54,12,42,95,0,8,1,2,51,33,156,123,0,8,1,0,39,12,0,0,0,2,12,7,14
2020-10,Aserbaidschan,425,56,23,33,71,0,4,3,1,37,26,155,138,0,3,1,1,34,6,0,1,2,0,3,16,4
2020-11,Aserbaidschan,425,31,21,10,114,0,5,1,2,56,50,136,103,0,3,1,2,51,6,0,2,0,0,5,42,2
