YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Sierra Leone,272,30,25,5,26,0,2,0,2,15,7,93,13,0,1,0,2,14,4,0,1,0,0,1,2,1
2020-02,Sierra Leone,272,22,16,6,21,0,3,0,2,7,9,101,15,0,3,0,0,7,3,0,0,0,2,0,4,2
2020-03,Sierra Leone,272,10,9,1,36,0,7,0,0,18,11,93,11,0,6,0,0,17,7,0,1,0,0,1,1,3
2020-04,Sierra Leone,272,11,9,2,23,1,2,0,0,18,2,98,13,1,2,0,0,18,0,0,0,0,0,0,0,2
2020-05,Sierra Leone,272,27,25,2,28,0,1,0,2,13,12,109,11,0,1,0,2,13,4,0,0,0,0,0,4,4
2020-06,Sierra Leone,272,17,13,4,28,0,0,0,5,11,12,109,14,0,0,0,4,10,7,0,0,0,1,1,1,4
2020-07,Sierra Leone,272,18,15,3,35,0,1,1,2,18,13,108,9,0,1,1,2,18,4,0,0,0,0,0,5,4
2020-08,Sierra Leone,272,15,12,3,31,0,2,0,1,19,9,98,11,0,2,0,1,17,5,0,0,0,0,2,1,3
2020-09,Sierra Leone,272,14,10,4,39,0,4,0,1,21,13,81,12,0,4,0,1,18,9,0,0,0,0,3,1,3
2020-10,Sierra Leone,272,11,8,3,14,0,3,0,1,4,6,83,12,0,3,0,1,4,1,0,0,0,0,0,3,2
2020-11,Sierra Leone,272,12,11,1,22,0,3,0,3,5,11,75,10,0,3,0,3,5,8,0,0,0,0,0,2,1
2020-12,Sierra Leone,272,18,15,3,19,0,2,0,1,10,6,78,11,0,2,0,0,10,4,0,0,0,1,0,1,1
