YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,"Syrien, Arabische Republik",475,3626,3498,128,3593,25,1681,1398,17,3,469,14352,528,25,1659,1393,8,3,333,0,22,5,9,0,110,26
2020-02,"Syrien, Arabische Republik",475,3044,2903,141,3261,34,1514,1334,22,9,348,14859,556,34,1504,1329,11,1,237,0,10,5,11,8,102,9
2020-03,"Syrien, Arabische Republik",475,2361,2245,116,3495,11,1841,1206,14,6,417,14346,520,11,1818,1198,8,3,286,0,23,8,6,3,121,10
2020-04,"Syrien, Arabische Republik",475,1315,1296,19,1316,25,1012,158,3,4,114,14730,518,25,1009,150,1,0,91,0,3,8,2,4,12,11
2020-05,"Syrien, Arabische Republik",475,1208,1154,54,4055,25,1573,1666,20,4,767,12364,462,25,1567,1657,12,4,679,0,6,9,8,0,85,3
2020-06,"Syrien, Arabische Republik",475,1944,1863,81,3630,23,1767,1499,12,4,325,11102,460,23,1731,1490,8,2,269,0,36,9,4,2,52,4
2020-07,"Syrien, Arabische Republik",475,3164,3075,89,3431,17,1691,1348,39,6,330,11595,422,17,1672,1333,14,6,232,0,19,15,25,0,76,22
2020-08,"Syrien, Arabische Republik",475,2972,2847,125,3134,19,1496,1236,14,6,363,12142,438,19,1465,1204,7,4,292,0,31,32,7,2,58,13
2020-09,"Syrien, Arabische Republik",475,3659,3543,116,3400,25,1571,1391,12,8,393,13086,435,25,1543,1379,9,3,296,0,28,12,3,5,88,9
2020-10,"Syrien, Arabische Republik",475,3301,3219,82,3447,26,1574,1544,13,5,285,13656,441,21,1571,1524,0,3,206,5,3,20,13,2,62,17
2020-11,"Syrien, Arabische Republik",475,3120,2986,134,3579,16,1516,1673,18,2,354,13934,470,16,1493,1662,8,1,267,0,23,11,10,1,75,12
2020-12,"Syrien, Arabische Republik",475,5628,2869,2759,2611,20,1335,992,10,0,254,15006,3210,20,1332,981,6,0,193,0,3,11,4,0,48,13
