YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Venezuela,367,136,136,0,100,21,7,0,36,36,0,679,5,21,7,0,36,36,0,0,0,0,0,0,0,0
2020-02,Venezuela,367,132,132,0,184,5,0,0,54,124,1,632,5,5,0,0,54,124,1,0,0,0,0,0,0,0
2020-03,Venezuela,367,70,68,2,151,14,4,2,35,89,7,549,5,14,4,2,34,89,6,0,0,0,1,0,1,0
2020-04,Venezuela,367,55,55,0,35,2,1,3,6,22,1,572,5,2,1,3,6,22,0,0,0,0,0,0,1,0
2020-05,Venezuela,367,53,49,4,162,2,5,0,28,127,0,461,7,2,5,0,28,127,0,0,0,0,0,0,0,0
2020-06,Venezuela,367,31,31,0,105,5,2,2,28,67,1,400,6,4,2,2,28,67,0,1,0,0,0,0,1,0
2020-07,Venezuela,367,33,29,4,67,5,3,0,27,30,2,359,7,4,3,0,26,30,1,1,0,0,1,0,0,1
2020-08,Venezuela,367,8,8,0,68,7,5,3,26,23,4,305,4,7,5,3,25,23,0,0,0,0,1,0,4,0
2020-09,Venezuela,367,9,9,0,80,1,2,1,44,28,4,238,3,1,2,1,44,27,3,0,0,0,0,1,1,0
2020-10,Venezuela,367,5,5,0,73,5,0,0,36,27,5,169,3,5,0,0,35,27,3,0,0,0,1,0,0,2
2020-11,Venezuela,367,16,12,4,94,5,2,2,40,42,3,88,1,5,2,2,37,42,0,0,0,0,3,0,3,0
2020-12,Venezuela,367,18,18,0,41,8,5,0,6,21,1,65,1,8,5,0,6,21,1,0,0,0,0,0,0,0
