YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,9,117,41,228,219,317
2020-02,1,118,47,163,255,309
2020-03,11,110,27,182,197,333
2020-04,1,108,26,50,106,134
2020-05,1,110,76,323,381,389
2020-06,1,157,48,257,330,260
2020-07,1,141,36,235,265,268
2020-08,9,99,41,219,158,244
2020-09,3,129,31,194,211,237
2020-10,3,134,35,214,176,346
2020-11,2,121,54,241,286,448
2020-12,7,148,35,232,211,390
2021-01,4,104,61,257,225,406
2021-02,2,119,56,277,277,505
2021-03,2,108,39,253,230,535
2021-04,0,108,33,231,204,477
2021-05,7,110,35,192,143,390
2021-06,3,89,36,196,181,344
2021-07,2,102,38,261,172,341
2021-08,6,98,33,85,59,300
2021-09,6,134,23,2,0,320
2021-10,1,106,22,1,0,327
2021-11,2,145,17,4,0,478
