YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,0,0,0,170
2020-02,0,1,0,0,127
2020-03,0,0,0,1,78
2020-04,0,1,0,0,16
2020-05,0,0,2,1,116
2020-06,0,0,1,0,81
2020-07,0,2,0,2,61
2020-08,0,0,0,0,36
2020-09,0,0,0,0,43
2020-10,0,0,0,0,45
2020-11,0,0,0,0,58
2020-12,0,0,0,0,31
2021-01,0,0,0,0,20
2021-02,0,0,0,1,53
2021-03,0,0,0,1,48
2021-04,0,0,0,0,28
2021-05,0,0,0,0,24
2021-06,0,0,3,1,24
2021-07,0,0,0,0,44
2021-08,0,0,0,0,41
2021-09,0,0,0,0,96
2021-10,0,0,0,0,184
2021-11,0,0,0,0,179
