YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Aserbaidschan,425,131,73,58,145,0,1,0,1,80,63,338,129,0,1,0,1,78,30,0,0,0,0,2,33,0
2020-02,Aserbaidschan,425,80,61,19,94,1,0,0,3,55,35,352,126,1,0,0,3,47,21,0,0,0,0,8,13,1
2020-03,Aserbaidschan,425,67,57,10,138,0,4,1,1,67,65,354,95,0,4,1,1,56,28,0,0,0,0,11,36,1
2020-04,Aserbaidschan,425,53,39,14,71,1,2,0,0,46,22,360,99,1,2,0,0,41,11,0,0,0,0,5,10,1
2020-05,Aserbaidschan,425,36,25,11,173,3,5,2,4,123,36,279,86,3,5,2,3,114,12,0,0,0,1,9,24,0
2020-06,Aserbaidschan,425,36,14,22,145,0,4,1,1,114,25,209,94,0,4,1,1,101,17,0,0,0,0,13,6,2
2020-07,Aserbaidschan,425,58,33,25,106,0,8,0,0,72,26,194,96,0,8,0,0,69,5,0,0,0,0,3,21,0
2020-08,Aserbaidschan,425,32,16,16,84,1,6,0,1,59,17,172,96,1,6,0,0,53,3,0,0,0,1,6,12,2
2020-09,Aserbaidschan,425,54,12,42,95,0,8,1,2,51,33,156,123,0,8,1,0,39,12,0,0,0,2,12,7,14
2020-10,Aserbaidschan,425,56,23,33,71,0,4,3,1,37,26,155,138,0,3,1,1,34,6,0,1,2,0,3,16,4
2020-11,Aserbaidschan,425,31,21,10,114,0,5,1,2,56,50,136,103,0,3,1,2,51,6,0,2,0,0,5,42,2
2020-12,Aserbaidschan,425,30,16,14,63,0,3,3,0,33,24,137,88,0,2,0,0,23,5,0,1,3,0,10,18,1
2021-01,Aserbaidschan,425,25,12,13,80,0,5,1,2,43,29,134,85,0,3,0,2,39,1,0,2,1,0,4,21,7
2021-02,Aserbaidschan,425,39,15,24,99,0,3,6,2,69,19,112,96,0,3,1,1,65,5,0,0,5,1,4,14,0
2021-03,Aserbaidschan,425,61,17,44,101,0,3,4,0,56,38,99,101,0,3,2,0,42,3,0,0,2,0,14,34,1
2021-04,Aserbaidschan,425,42,12,30,55,0,1,0,1,27,26,96,114,0,1,0,0,23,5,0,0,0,1,4,15,6
2021-05,Aserbaidschan,425,24,11,13,64,0,1,1,0,33,29,85,106,0,1,1,0,32,5,0,0,0,0,1,21,3
2021-06,Aserbaidschan,425,40,17,23,81,0,2,1,0,45,33,84,103,0,1,1,0,44,2,0,1,0,0,1,22,9
2021-07,Aserbaidschan,425,37,15,22,85,0,1,0,1,34,49,81,78,0,1,0,0,34,2,0,0,0,1,0,43,4
2021-08,Aserbaidschan,425,44,25,19,68,1,8,0,0,38,21,78,78,1,4,0,0,35,7,0,4,0,0,3,14,0
2021-09,Aserbaidschan,425,53,31,22,51,0,5,1,1,24,20,87,82,0,5,0,1,24,2,0,0,1,0,0,17,1
2021-10,Aserbaidschan,425,27,15,12,46,0,2,3,1,20,20,93,79,0,2,0,0,19,2,0,0,3,1,1,16,2
2021-11,Aserbaidschan,425,72,43,29,69,0,1,1,0,28,39,120,84,0,1,1,0,22,5,0,0,0,0,6,32,2
