YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,0,1,0,1,80,63
2020-02,1,0,0,3,55,35
2020-03,0,4,1,1,67,65
2020-04,1,2,0,0,46,22
2020-05,3,5,2,4,123,36
2020-06,0,4,1,1,114,25
2020-07,0,8,0,0,72,26
2020-08,1,6,0,1,59,17
2020-09,0,8,1,2,51,33
2020-10,0,4,3,1,37,26
2020-11,0,5,1,2,56,50
2020-12,0,3,3,0,33,24
2021-01,0,5,1,2,43,29
2021-02,0,3,6,2,69,19
2021-03,0,3,4,0,56,38
2021-04,0,1,0,1,27,26
2021-05,0,1,1,0,33,29
2021-06,0,2,1,0,45,33
2021-07,0,1,0,1,34,49
2021-08,1,8,0,0,38,21
2021-09,0,5,1,1,24,20
2021-10,0,2,3,1,20,20
2021-11,0,1,1,0,28,39
