YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Eritrea,224,262,245,17,391,6,201,76,26,33,49,1331,69,6,200,75,18,33,40,0,1,1,8,0,6,3
2020-02,Eritrea,224,248,238,10,287,3,151,47,25,24,37,1389,63,3,150,44,22,24,24,0,1,3,3,0,11,2
2020-03,Eritrea,224,201,197,4,356,3,209,54,20,20,50,1344,57,3,204,49,17,17,45,0,5,5,3,3,2,3
2020-04,Eritrea,224,94,90,4,194,4,124,22,8,8,28,1324,56,4,123,21,5,6,19,0,1,1,3,2,5,4
2020-05,Eritrea,224,126,125,1,359,3,145,72,35,57,47,1188,49,3,145,70,30,55,33,0,0,2,5,2,4,10
2020-06,Eritrea,224,136,123,13,386,1,227,71,28,38,21,1013,50,1,224,68,22,36,11,0,3,3,6,2,4,6
2020-07,Eritrea,224,196,183,13,330,5,187,58,20,30,30,982,47,5,186,55,15,29,18,0,1,3,5,1,4,8
2020-08,Eritrea,224,200,192,8,231,2,150,37,13,13,16,1015,51,2,150,35,9,13,11,0,0,2,4,0,1,4
2020-09,Eritrea,224,212,200,12,289,5,165,55,17,23,24,997,62,5,165,53,14,21,16,0,0,2,3,2,4,4
2020-10,Eritrea,224,200,191,9,285,2,162,64,14,23,20,992,60,2,160,63,8,21,10,0,2,1,6,2,5,5
2020-11,Eritrea,224,204,194,10,327,5,170,66,21,29,36,968,63,5,170,64,10,29,22,0,0,2,11,0,6,8
2020-12,Eritrea,224,170,145,25,247,3,150,43,19,12,20,950,82,3,150,39,14,12,11,0,0,4,5,0,6,3
2021-01,Eritrea,224,179,171,8,219,4,127,31,11,21,25,976,84,4,124,30,9,19,20,0,3,1,2,2,5,0
2021-02,Eritrea,224,171,161,10,266,4,143,44,25,18,32,949,77,4,143,39,20,17,17,0,0,5,5,1,11,4
2021-03,Eritrea,224,260,255,5,219,3,118,33,27,13,25,1088,66,3,115,32,19,11,11,0,3,1,8,2,10,4
2021-04,Eritrea,224,178,163,15,219,2,121,26,20,12,38,1137,61,2,118,24,14,12,17,0,3,2,6,0,15,6
2021-05,Eritrea,224,189,181,8,222,4,144,30,12,8,24,1185,54,4,144,29,7,7,10,0,0,1,5,1,10,4
2021-06,Eritrea,224,253,240,13,262,4,156,37,21,17,27,1269,52,4,155,37,15,16,17,0,1,0,6,1,4,6
2021-07,Eritrea,224,303,291,12,318,2,225,43,8,17,23,1323,50,2,224,41,6,17,16,0,1,2,2,0,6,1
2021-08,Eritrea,224,234,223,11,270,4,165,47,13,15,26,1363,56,4,162,45,12,12,20,0,3,2,1,3,6,0
2021-09,Eritrea,224,210,204,6,368,4,252,37,10,27,38,1287,45,4,250,34,8,24,26,0,2,3,2,3,12,0
2021-10,Eritrea,224,213,209,4,315,9,207,34,11,31,23,1279,43,9,206,31,10,30,19,0,1,3,1,1,4,0
2021-11,Eritrea,224,270,257,13,284,3,181,43,10,23,24,1335,50,3,179,42,9,21,18,0,2,1,1,2,5,1
