YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,6,201,76,26,33,49
2020-02,3,151,47,25,24,37
2020-03,3,209,54,20,20,50
2020-04,4,124,22,8,8,28
2020-05,3,145,72,35,57,47
2020-06,1,227,71,28,38,21
2020-07,5,187,58,20,30,30
2020-08,2,150,37,13,13,16
2020-09,5,165,55,17,23,24
2020-10,2,162,64,14,23,20
2020-11,5,170,66,21,29,36
2020-12,3,150,43,19,12,20
2021-01,4,127,31,11,21,25
2021-02,4,143,44,25,18,32
2021-03,3,118,33,27,13,25
2021-04,2,121,26,20,12,38
2021-05,4,144,30,12,8,24
2021-06,4,156,37,21,17,27
2021-07,2,225,43,8,17,23
2021-08,4,165,47,13,15,26
2021-09,4,252,37,10,27,38
2021-10,9,207,34,11,31,23
2021-11,3,181,43,10,23,24
