YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Gambia,237,123,100,23,146,0,2,1,3,37,103,274,69,0,2,1,2,37,63,0,0,0,1,0,13,27
2020-02,Gambia,237,120,98,22,132,0,4,0,0,37,91,311,66,0,4,0,0,34,45,0,0,0,0,3,13,33
2020-03,Gambia,237,45,35,10,159,1,6,1,2,40,109,249,54,1,6,1,0,34,75,0,0,0,2,6,13,21
2020-04,Gambia,237,49,38,11,37,0,4,1,0,15,17,270,66,0,4,1,0,15,8,0,0,0,0,0,2,7
2020-05,Gambia,237,28,21,7,164,0,7,0,6,72,79,221,54,0,7,0,4,66,31,0,0,0,2,6,7,41
2020-06,Gambia,237,41,30,11,91,0,3,1,2,26,59,227,51,0,3,1,1,22,19,0,0,0,1,4,12,28
2020-07,Gambia,237,53,40,13,94,0,4,2,4,32,52,227,55,0,4,2,2,30,24,0,0,0,2,2,4,24
2020-08,Gambia,237,47,35,12,78,0,1,0,2,24,51,225,55,0,1,0,2,24,27,0,0,0,0,0,12,12
2020-09,Gambia,237,62,47,15,83,0,3,2,2,32,44,241,51,0,3,2,1,32,17,0,0,0,1,0,11,16
2020-10,Gambia,237,65,53,12,82,0,4,0,1,30,47,251,52,0,4,0,0,30,34,0,0,0,1,0,6,7
2020-11,Gambia,237,65,49,16,106,0,7,0,3,52,44,268,57,0,7,0,3,52,31,0,0,0,0,0,9,4
2020-12,Gambia,237,53,37,16,83,0,1,3,2,38,39,279,65,0,1,3,1,30,20,0,0,0,1,8,8,11
2021-01,Gambia,237,41,31,10,99,1,4,0,6,41,47,259,68,1,4,0,6,38,32,0,0,0,0,3,3,12
2021-02,Gambia,237,52,34,18,111,1,3,1,2,59,45,250,73,1,3,1,2,50,27,0,0,0,0,9,11,7
2021-03,Gambia,237,35,22,13,121,0,1,0,4,45,71,223,65,0,1,0,2,42,37,0,0,0,2,3,15,19
2021-04,Gambia,237,30,15,15,92,0,1,1,2,51,37,221,66,0,1,1,0,49,15,0,0,0,2,2,14,8
2021-05,Gambia,237,21,14,7,69,1,5,2,3,25,33,207,63,1,5,2,1,23,20,0,0,0,2,2,7,6
2021-06,Gambia,237,54,38,16,72,0,3,0,1,34,34,237,65,0,3,0,1,27,12,0,0,0,0,7,10,12
2021-07,Gambia,237,25,15,10,80,0,4,1,0,35,40,227,68,0,4,1,0,30,17,0,0,0,0,5,9,14
2021-08,Gambia,237,40,31,9,62,2,1,1,1,15,42,239,71,2,0,1,1,15,26,0,1,0,0,0,6,10
2021-09,Gambia,237,25,19,6,75,0,10,1,2,26,36,231,63,0,9,1,0,21,8,0,1,0,2,5,9,19
2021-10,Gambia,237,40,33,7,67,2,2,2,2,27,32,241,62,2,1,2,2,27,14,0,1,0,0,0,6,12
2021-11,Gambia,237,33,21,12,75,1,9,0,3,26,36,222,66,1,9,0,2,25,20,0,0,0,1,1,4,12
