YEAR_MONTH,Herkunftsland,LS,ASYLANTRAEGE insgesamt,ASYLANTRAEGE davon Erstantraege,ASYLANTRAEGE davon Folgeantraege,ENTSCHEIDUNGEN ueber Asylantraege insgesamt,ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Asylberechtigte (Art 16a und Familienasyl),ENTSCHEIDUNGEN ueber Asylantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Asylantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Asylantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Asylantraege sonstige Verfahrenserledigungen,ANHÄNGIGE VERFAHREN aufgrund von Erstantraegen,ANHÄNGIGE VERFAHREN aufgrund von Folgeantraegen,ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Erstantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Erstantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Erstantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Erstantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Asylberechtigte (Art. 16a und Familienasyl),ENTSCHEIDUNGEN ueber Folgeantraege Anerkennungen als Fluechtling gem. Par. 3 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Gewaehrung von subsidiaerem Schutz gem. Par. 4 I AsylG,ENTSCHEIDUNGEN ueber Folgeantraege Feststellung eines Abschiebungsverbotes gem. Par. 60 V/VII AufenthG,ENTSCHEIDUNGEN ueber Folgeantraege Ablehnungen (unbegr. abgel./offens unbegr. abgel.),ENTSCHEIDUNGEN ueber Folgeantraege kein weiteres Verfahren,ENTSCHEIDUNGEN ueber Folgeantraege formelle Verfahrenserledigungen (z.B. Ruecknahmen)
2020-01,Georgien,430,467,419,48,387,0,0,0,2,275,110,649,92,0,0,0,2,272,61,0,0,0,0,3,35,14
2020-02,Georgien,430,399,332,67,422,0,1,0,1,295,125,627,102,0,1,0,1,289,66,0,0,0,0,6,38,21
2020-03,Georgien,430,249,204,45,261,0,0,0,3,142,116,622,104,0,0,0,3,136,61,0,0,0,0,6,42,13
2020-04,Georgien,430,128,119,9,40,0,0,0,0,17,23,714,107,0,0,0,0,12,12,0,0,0,0,5,6,5
2020-05,Georgien,430,80,68,12,321,0,0,0,0,243,78,520,78,0,0,0,0,233,35,0,0,0,0,10,23,20
2020-06,Georgien,430,94,83,11,214,0,0,1,2,142,69,439,62,0,0,1,2,131,33,0,0,0,0,11,27,9
2020-07,Georgien,430,163,116,47,230,0,0,2,3,149,76,367,81,0,0,1,3,147,43,0,0,1,0,2,24,9
2020-08,Georgien,430,174,143,31,190,0,2,0,1,110,77,367,79,0,2,0,1,100,49,0,0,0,0,10,18,10
2020-09,Georgien,430,166,137,29,186,0,0,0,2,88,96,366,76,0,0,0,2,85,56,0,0,0,0,3,29,11
2020-10,Georgien,430,155,116,39,213,0,0,0,1,113,99,328,79,0,0,0,1,107,61,0,0,0,0,6,30,8
2020-11,Georgien,430,183,154,29,213,0,0,0,1,126,86,335,72,0,0,0,1,120,45,0,0,0,0,6,29,12
2020-12,Georgien,430,154,127,27,148,0,1,2,1,83,61,362,80,0,1,0,1,82,28,0,0,2,0,1,14,19
2021-01,Georgien,430,203,173,30,224,0,0,1,2,146,75,363,86,0,0,1,1,140,28,0,0,0,1,6,27,20
2021-02,Georgien,430,157,135,22,202,0,0,0,1,118,83,345,77,0,0,0,1,115,38,0,0,0,0,3,23,22
2021-03,Georgien,430,214,192,22,247,0,0,0,1,127,119,349,63,0,0,0,1,120,68,0,0,0,0,7,23,28
2021-04,Georgien,430,213,178,35,172,0,0,1,3,110,58,395,85,0,0,1,3,104,32,0,0,0,0,6,15,11
2021-05,Georgien,430,226,201,25,211,0,0,0,1,130,80,437,82,0,0,0,1,124,44,0,0,0,0,6,27,9
2021-06,Georgien,430,320,273,47,316,0,0,0,1,209,106,446,95,0,0,0,1,209,47,0,0,0,0,0,38,21
2021-07,Georgien,430,400,345,55,247,0,0,0,1,163,83,615,111,0,0,0,0,158,23,0,0,0,1,5,34,26
2021-08,Georgien,430,394,358,36,303,0,1,0,0,197,105,754,103,0,1,0,0,186,60,0,0,0,0,11,31,14
2021-09,Georgien,430,509,444,65,369,0,0,2,2,237,128,924,121,0,0,2,2,227,59,0,0,0,0,10,53,16
2021-10,Georgien,430,453,393,60,434,0,0,0,1,339,94,980,134,0,0,0,1,330,39,0,0,0,0,9,46,9
2021-11,Georgien,430,509,457,52,444,0,1,0,1,344,98,1059,133,0,1,0,1,331,44,0,0,0,0,13,30,24
