YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,0,0,0,2,275,110
2020-02,0,1,0,1,295,125
2020-03,0,0,0,3,142,116
2020-04,0,0,0,0,17,23
2020-05,0,0,0,0,243,78
2020-06,0,0,1,2,142,69
2020-07,0,0,2,3,149,76
2020-08,0,2,0,1,110,77
2020-09,0,0,0,2,88,96
2020-10,0,0,0,1,113,99
2020-11,0,0,0,1,126,86
2020-12,0,1,2,1,83,61
2021-01,0,0,1,2,146,75
2021-02,0,0,0,1,118,83
2021-03,0,0,0,1,127,119
2021-04,0,0,1,3,110,58
2021-05,0,0,0,1,130,80
2021-06,0,0,0,1,209,106
2021-07,0,0,0,1,163,83
2021-08,0,1,0,0,197,105
2021-09,0,0,2,2,237,128
2021-10,0,0,0,1,339,94
2021-11,0,1,0,1,344,98
