YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,0,0,0,2,275
2020-02,0,1,0,1,295
2020-03,0,0,0,3,142
2020-04,0,0,0,0,17
2020-05,0,0,0,0,243
2020-06,0,0,1,2,142
2020-07,0,0,2,3,149
2020-08,0,2,0,1,110
2020-09,0,0,0,2,88
2020-10,0,0,0,1,113
2020-11,0,0,0,1,126
2020-12,0,1,2,1,83
2021-01,0,0,1,2,146
2021-02,0,0,0,1,118
2021-03,0,0,0,1,127
2021-04,0,0,1,3,110
2021-05,0,0,0,1,130
2021-06,0,0,0,1,209
2021-07,0,0,0,1,163
2021-08,0,1,0,0,197
2021-09,0,0,2,2,237
2021-10,0,0,0,1,339
2021-11,0,1,0,1,344
