YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,3,19,8,10,128,80
2020-02,3,19,5,10,101,63
2020-03,4,14,8,4,76,60
2020-04,0,10,1,4,29,9
2020-05,2,28,8,14,184,50
2020-06,1,37,14,14,153,54
2020-07,3,31,14,9,124,38
2020-08,0,17,7,5,67,52
2020-09,2,19,10,9,76,33
2020-10,6,20,8,10,69,65
2020-11,2,37,6,4,76,69
2020-12,6,21,12,4,74,56
2021-01,2,22,4,8,66,57
2021-02,2,20,11,14,102,60
2021-03,7,16,4,4,55,70
2021-04,1,23,7,5,46,46
2021-05,4,14,3,8,45,47
2021-06,9,25,4,3,50,45
2021-07,6,28,3,7,33,36
2021-08,6,35,3,6,37,28
2021-09,7,39,7,6,37,48
2021-10,7,17,9,7,25,59
2021-11,9,25,3,7,47,44
