YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt,sonstige Verfahrenserledigungen
2020-01,0,319,51,48,474,447
2020-02,3,260,31,68,421,370
2020-03,1,326,47,62,374,361
2020-04,0,182,8,20,102,117
2020-05,1,289,58,95,726,480
2020-06,3,414,72,73,596,275
2020-07,3,321,63,81,542,265
2020-08,1,261,26,51,310,220
2020-09,1,267,48,55,359,226
2020-10,2,289,80,69,318,241
2020-11,3,246,47,96,352,274
2020-12,0,183,34,32,331,285
2021-01,1,197,31,59,360,270
2021-02,0,207,55,54,441,320
2021-03,0,209,48,50,455,359
2021-04,2,199,40,50,275,240
2021-05,0,175,37,32,279,194
2021-06,3,217,27,68,238,264
2021-07,1,257,52,58,255,210
2021-08,0,195,23,55,335,291
2021-09,0,196,36,55,343,297
2021-10,3,188,41,56,323,314
2021-11,4,204,37,46,486,353
