YEAR_MONTH,Asylberechtigt,Fluechtling,subs. Schutz,Abschiebungsverbot,Abgelehnt
2020-01,19,149,16,5,412
2020-02,16,87,9,3,319
2020-03,15,90,7,3,303
2020-04,18,112,5,2,197
2020-05,13,133,19,8,696
2020-06,22,143,27,6,655
2020-07,28,131,24,10,575
2020-08,17,98,19,2,348
2020-09,16,106,15,3,288
2020-10,13,96,12,5,250
2020-11,10,104,12,7,288
2020-12,11,107,6,10,214
2021-01,9,80,8,3,236
2021-02,8,101,6,3,254
2021-03,8,61,9,0,215
2021-04,2,81,8,5,152
2021-05,5,70,9,3,132
2021-06,3,60,13,5,119
2021-07,7,84,9,4,144
2021-08,13,78,12,6,135
2021-09,14,85,12,5,136
2021-10,2,78,8,4,114
2021-11,6,105,4,6,124
